Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20020197360,27.12.2002,Deep dish pizza crust,"[09572808 2000-05-17T23:59:59.000Z US, 60134569 1999-05-17T23:59:59.000Z US]",B65D 85/00;A21C 11/00;A21C 11/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/00;B65D 5/20;B65D 5/28;B65D 5/42;B65D 5/42;B65D 77/04;B65D 77/04;B65D 85/30;B65D 85/36,"Kraft Foods Holdings, Inc.","Lamp, Mary A.;Forneck, Keith;Paulos, William T.",NA
US20060141104,30.06.2006,Deep dish pizza crust,"[09572808 2000-05-17T23:59:59.000Z US, 10864554 2004-06-09T23:59:59.000Z US, 11358764 2006-02-21T23:59:59.000Z US, 60134569 1999-05-17T23:59:59.000Z US]",B65D 81/32;B65D 81/32,"Kraft Foods Holdings, Inc.",Lamp Mary A.;Forneck Keith;Paulos William T.,NA
WO1992008358,30.05.1992,"METHOD OF MAKING A PIZZA, PIZZA TOPPINGS DISK AND APPARATUS FOR MAKING SAME","[613,249 13.11.1990 US, 746,657 16.08.1991 US]",A21C 9/04,"PIZZA HUT, INC.","MCDONALD, Jane, M.;BINGHAM, Lynn, R.;HIGGINS, Lori, B.;JENNINGS, Kathryn, M.;KOEPPE, Susan;O'NEILL, Edward;MOSHIER, Mark, W.;BEHM, Larry, R.;JAAX, Susan, L.",NA
WO2011051062,06.05.2011,PIZZA SANDWICH,"[US 20091030 12/609,638]",A21D 13/00,"NESTEC S.A.;DODD, Kristin, N.;GREINER, Steven, P.;CONWAY, Bernard, William;YOST, Rachel, Michelle;FOSTER, Lisa, A.;STOCKWELL, Patricia","DODD, Kristin, N.;GREINER, Steven, P.;CONWAY, Bernard, William;YOST, Rachel, Michelle;FOSTER, Lisa, A.;STOCKWELL, Patricia",NA
US20130101709,26.04.2013,METHOD AND SYSTEM FOR ASSEMBLING A PIZZA,NA,A23L 1/00;G01N 5/00,"Pizza Hut, Inc.;Pizza Hut, Inc.",Rader Jeff,NA
US20110209661,02.09.2011,Automated Pizza Assembly System,NA,A21C 14/00;B05B 1/00;B05C 11/00;B05C 13/00;B25J 18/04;B25J 15/00,"LITTLE CAESAR ENTERPRISES, INC.",Fritz-Jung Cathryn;Scrivano David;Strother David;Thomas Amanda B.;Heslip Sean M.;Deemter Kent A.;McCoy Tyler W.;Hoeksema Bret A.,NA
EP1776295,26.04.2007,PIZZA BOX,"[2005020587 2005-06-10T23:59:59.000Z US, 86554004 2004-06-10T23:59:59.000Z US]",B65D 85/36;B65D 5/00;B65D 5/66,INT PAPER CO,KUHN WAYNE H;PIZZITOLA FRANK,NA
US6010325,05.01.2000,Pizza die,NA,A21C 11/00;B29C 43/02;A21C 11/00;A21C 11/00,Lawrence Equipment,Lawrence Eric C.,NA
WO2011106475,02.09.2011,AUTOMATED PIZZA ASSEMBLY SYSTEM,"[61/308,487 26.02.2010 US, 61/320,337 02.04.2010 US, 13/033,650 24.02.2011 US]",A21C 9/04;A21C 9/00;A21C 9/08,"LITTLE CAESAR ENTERPRISES, INC.;FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.","FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.",NA
EP1444897,12.08.2004,Method and apparatus for cooking a pizza,"[03250812 2003-02-10T23:59:59.000Z EP, 0119494 2001-08-10T23:59:59.000Z GB, 0122563 2001-09-18T23:59:59.000Z GB, 0200092 2002-01-04T23:59:59.000Z GB, 77699304 2004-02-10T23:59:59.000Z US]",A21B 3/15;A21B 3/15;A47J 37/01,SMITH RAYMOND,SMITH RAYMOND,NA
EP0104743,05.04.1984,LAMINATE PIZZA CRUST,[41388882 1982-09-01T23:59:59.000Z US],A21D 13/00;A21D 8/00;A21D 13/00,"SCHWAN'S SALES ENTERPRISES, INC.","RICKE, ROY R.",NA
US4463021,01.08.1984,Pizza cone with filling,NA,A21D 13/00;A21D 13/00,EUFEMIA JOSEPH C,Eufemia Joseph C.,NA
US20110138750,17.06.2011,Convertible Pizza Box,NA,B65D 5/54;B65B 9/00,Walsh William R.,Walsh William R.,NA
US5950912,15.09.1999,Dual pizza pie box,NA,B65D 5/49;B65D 5/50;B65D 5/50;B65D 85/30;B65D 85/36,ECONOMOPOULOS; DEMOSTHENES O.,Economopoulos Demosthenes O.,NA
US4494786,23.01.1985,Pizza oven tool,NA,A47J 49/00;A47J 45/10;A47J 45/00;A47J 45/10,"Pizza Hut, Inc.",Paulus John R.;Keck Marvin C.,NA
US20130068830,22.03.2013,Reusable pizza container,NA,B65D 5/355;B65D 5/54,Colon Epifanio;,Colon Epifanio,NA
US4605579,13.08.1986,Decorative heat retaining pizza cover,NA,B65D 51/00;G09F 23/00;G09F 23/06,ARMENO MICHAEL;PARLA RALPH L,Armeno Michael;Parla Ralph L.,NA
WO2013062915,03.05.2013,METHOD AND SYSTEM FOR ASSEMBLING A PIZZA,"[61/550,506 24.10.2011 US]",G06Q 50/12,"PIZZA HUT, INC.","RADER, Jeff",NA
US20100065571,19.03.2010,Pizza pan with domed center,NA,A21B 3/00;A21B 3/13,OLSON JOHN,Olson John,NA
US6398028,05.06.2002,Pizza delivery system and method,[09635047 2000-08-04T23:59:59.000Z US],B65D 85/00;A45C 11/20;B65H 37/00;B65H 5/28;B65H 37/00,STOVALL JAMES G.,"Stovall, James G.",NA
US20110217434,09.09.2011,Pizza Press And Method Of Making A Pizza,NA,A47J 37/01;A21D 13/00;A21D 8/02,Brady Shane P.,Brady Shane P.,NA
CA2485436,21.11.2003,AMBIDEXTROUS SECTIONAL PIZZA BOX,"[60/378,987 2002-05-10T23:59:59.000Z US]",B65D 85/36;A47G 21/00,"PIZZA BOX 2000, INC.",NA,NA
US5117749,03.06.1992,Machine for the automated preparation of pizzas,NA,A21C 9/04;A21C 9/08,"Rykaart, Inc.",Bakker Evert,NA
US20080073416,28.03.2008,Convertible pizza box,NA,B65D 5/00;B65D 5/00,WALSH WILLIAM R,Walsh William R.,NA
EP2284086,17.02.2011,Multi pizza packaging,[200906013U 2009-08-04T23:59:59.000Z TR],B65D 5/00;B65D 5/42;B65D 5/66,OLMUKSA INTERNAT PAPER SABANCI AMBALAJ SANAYI VE TICARET ANONIM SIRKETI,ZEREY MEHMET;OEZTUERK AHSEN,NA
US20080203746,29.08.2008,Folding pizza peel,NA,A47J 43/28,"Wilton Industries, Inc.",Cunningham Chris;Christman Paul,NA
US20080149696,27.06.2008,Pizza box,[10865540 2004-06-10T23:59:59.000Z US],B65D 5/00;B65D 5/00;B65B 7/00;B65B 7/00;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,KUHN WAYNE H;PIZZITOLA FRANK,Kuhn Wayne H.;Pizzitola Frank,NA
EP0898892,04.03.1999,Food dough for pizza,[97830424 1997-08-18T23:59:59.000Z EP],A21D 2/36;A21D 13/00;A21D 2/36;A21D 13/00,GRIECO LEONARDO,GRIECO LEONARDO,NA
CA2344924,23.11.2001,PIZZA OVEN DECK,"[09/576,143 2000-05-22T23:59:59.000Z US]",A21B 1/02;A21B 1/28;A21B 1/40;A47J 39/00;F24C 15/10,THE GARLAND GROUP,"KORINCHOCK, RICHARD JOHN",NA
WO1999051101,15.10.1999,PIZZA DIE,"[09/056,989 08.04.1998 US]",A21C 11/00,LAWRENCE EQUIPMENT,"LAWRENCE, Eric, Clay",NA
US4738028,20.04.1988,Pizza cutter,NA,B26B 3/00;B26B 25/00;B26B 25/00,BELOKIN MARTIN P;BELOKIN NORMAN P,Belokin Martin P.;Belokin Norman P.,NA
CA2694618,06.02.2009,PIZZA AND TRAY COMBINATION AND METHODS,"[11/831,609 2007-07-31T23:59:59.000Z US]",A21D 13/00;B65D 81/34,"SCHWAN'S GLOBAL SUPPLY CHAIN, INC.","RETTEY, DAVID CHARLES;PAFKO, WAYNE MICHAEL;HASSE, JOEY J.;MCGILLIVRAY, JIM A.;SHOMO, ROBERT B., JR.;WALTER, MICHAELLE RUTH",NA
US4632836,31.12.1986,Pizza preparation and delivery system,NA,B60P 3/00;A23L 1/10;A21B 1/00;A21B 1/52;A21B 7/00;A21B 7/00,"Pizza Hut, Inc.",Abbott Maxwell T.;Streepy Gary S.;Paulus John R.;Barrera Ricardo;Brewer David E.,NA
US5260076,10.11.1993,Pizza crust,NA,A21D 2/36;A21D 2/00;A21D 2/18;A21D 6/00;A21D 6/00;A21D 13/00;A21D 13/00,American Maize-Products Company,Furcsik Susan;Stankus Carol,NA
US4649053,11.03.1987,Method for making pizza,[06748145 1985-06-21T23:59:59.000Z US],A21D 8/00;A21D 13/00;A21D 13/00,LAMONICA MARK,Lamonica Mark,NA
US20140242222,29.08.2014,Frozen pizza preparation package and method,NA,A21D 13/00,Weinstein Michael;Weinstein Robert,Weinstein Michael;Weinstein Robert,NA
US20120111931,11.05.2012,DOUBLE PIZZA PACK,[IL 202628 2009-12-09T23:59:59.000Z IL],B65D 5/42,KIMHI Yaniv,KIMHI Yaniv,NA
CA1203417,23.04.1986,PIZZA CONE WITH FILLING,"[480,765 1983-03-31T23:59:59.000Z US]",A21D 13/00,NA,"EUFEMIA, JOSEPH C.",NA
US5454295,04.10.1995,Oven for baking pizza,"[07166206 1988-03-10T23:59:59.000Z US, 07520977 1990-05-09T23:59:59.000Z US]",A21B 1/00;A21B 1/00;A21B 1/24;A21B 1/48;A21B 5/00;A21B 5/02;F24C 15/32;F24C 15/32,"Pizza Hut, Inc.",Cox Thomas L.;Beltz John D.;Johnson Donald L.;Pellin Johnny J.;Riley Gary V.;Wiebe Randall J.,NA
US6439529,28.08.2002,Stackable pizza box support,[09817576 2001-03-26T23:59:59.000Z US],B65D 21/032;A47G 29/00;B65D 81/05;B65D 81/05;B65D 85/30;B65D 85/36,WONG CHRISTOPHER,"Wong, Christopher",NA
US20070082091,13.04.2007,Pizza sandwich,[11245573 2005-10-07T23:59:59.000Z US],A21D 13/00;A21D 13/00,KLAVON KULSOOM L;BUTLER GEORGE P,Klavon Kulsoom L.;Butler George Philip,NA
US20080149695,27.06.2008,Pizza box,NA,B65D 5/20;B65D 5/20;B65D 5/00;B65D 5/00;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,International Paper,Kuhn Wayne H;Pizzitola Frank,NA
CA1100916,13.05.1981,THERMAL PIZZA PLATE,NA,B65D 81/38;B65D 85/72,NA,"BACA, CARLOS M.",NA
WO2013033586,08.03.2013,AUTOMATED PIZZA ASSEMBLY SYSTEM,"[13/222,319 31.08.2011 US, 61/642,855 04.05.2012 US]",A23G 3/20,"LITTLE CAESAR ENTERPRISES, INC.;FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.","FRITZ-JUNG, Cathryn;SCRIVANO, David;STROTHER, David;THOMAS, Amanda, B.;HESLIP, Sean, M.;DEEMTER, Kent, A.;MCCOY, Tyler, W.;HOEKSEMA, Bret, A.",NA
EP1857377,22.11.2007,Container for pizzas,[200601276 2006-05-18T23:59:59.000Z ES],B65D 85/36,VIDECART SA,TEIXIDOR CASANOVAS PERE;CANALES CANAS FERNANDO MANUEL,NA
US20040094436,21.05.2004,Pizza delivery box,"[10703044 2003-11-06T23:59:59.000Z US, 60424622 2002-11-07T23:59:59.000Z US]",B65D 5/50;B65D 81/26;B65D 81/26;B65D 85/30;B65D 85/36,NA,"Potenza, Jr. Louis F.;Pieroni Lisa A.",NA
CA2075516,12.02.1994,PIZZA CONTAINER,NA,B65D 1/34;A47G 19/02;B65D 43/02,"FISHER, RONALD F.","FISHER, RONALD F.",NA
CA1331316,10.08.1994,COMPACT PIZZA OVEN,"[07/258,967 1988-10-17T23:59:59.000Z US]",A47J 37/04;A21B 1/26;F24C 15/32,NA,"BINGHAM, LYNN R.",NA
US20100176137,16.07.2010,Combination pizza box and leveling device,NA,B65D 5/44;F16M 11/20,Marinelli Vito;Macor Richard J.,Marinelli Vito;Macor Richard J.,NA
EP1262102,05.12.2002,Process for pizza preparation,[01113232 2001-05-30T23:59:59.000Z EP],A21C 11/00;A21C 11/00,ADVANCED FOOD SYSTEM S A;GRIECO LEONARDO,GRIECO LEONARDO,NA
US5681602,29.10.1997,Pizza sauce composite preform and method for making same,NA,A23L 1/06;A21D 13/00;A21D 13/00;A23L 1/05;A23L 1/0562;A23L 1/39;A23L 1/39,Doskocil Companies Incorporated,Alden Don E.;Seideman Steven C.;Bolton James C.,NA
US5273174,29.12.1993,Pizza container,[2075516 1992-08-10T23:59:59.000Z CA],B65D 1/24;A47G 19/00;A47G 19/02,FISHER RONALD F,Fisher Ronald F.,NA
CA2059342,13.09.1992,MICROWAVE RECONSTITUTION OF FROZEN PIZZA,"[666,943 1991-03-11T23:59:59.000Z US]",A23L 1/025;A21D 6/00;A21D 13/00;B65D 81/34,NA,"PELEG, YIGAL",NA
US5887783,31.03.1999,Level-indicating pizza box,NA,B65D 5/44;B65D 5/42;B65D 5/42;B65D 79/00;B65D 79/02;B65D 85/30;B65D 85/36,PROKOPIS; J. GUS,Prokopis J. Gus,NA
US5472139,06.12.1995,Pizza box,NA,B65D 1/34;B65D 1/34;B65D 1/34;B65D 85/30;B65D 85/36,Invention Machine Corporation,Valdman Michael;Litvin Semyon;Gridnev Igor;Gerasimov Vladimir M.;Zakharov Alexey N.;Ljubomirsky Alexander L.;Vasilevskaja Ilona,NA
WO2011070563,17.06.2011,A PIZZA PACK,[202628 09.12.2009 IL],B65D 5/00,"KIMHI, Yaniv;KIMHI, Haim;LEVI, Tomer Refael","KIMHI, Yaniv",NA
CA1299924,06.05.1992,MANUFACTURE OF PIZZA CRUSTS,[8712449 1987-05-27T23:59:59.000Z GB],A21C 11/00;A21C 13/02,NA,"BAUER, MARSHALL",NA
EP1985556,30.10.2008,Pizza box,"[05750385 2005-06-10T23:59:59.000Z EP, 86554004 2004-06-10T23:59:59.000Z US]",B65D 85/36;B65D 5/00;B65D 5/66,INT PAPER CO,KUHN WAYNE H;PIZZITOLA FRANK,NA
US4924763,16.05.1990,Compact pizza oven,NA,A21B 1/00;A21B 1/26;A47J 37/04;A47J 37/04,Pizza Hut,Bingham Lynn R.,NA
US20030183164,03.10.2003,Pizza-topping apparatus,[10107342 2002-03-28T23:59:59.000Z US],A21C 9/04;A21C 9/00;A21C 9/04,NA,"Pierre, Jean E.",NA
US20090035423,06.02.2009,PIZZA AND TRAY COMBINATION AND METHODS,NA,B65D 81/34;B65D 81/34,NA,"Rettey David Charles;Pafko Wayne Michael;Hasse Joey J.;McGillivray Jim A.;Shomo, JR. Robert B;Walter Michelle Ruth",NA
US20120185086,20.07.2012,AUTOMATED PIZZA PREPARATION APPARATUS,NA,A21C 9/08;G06F 17/00;A21D 6/00,KHATCHADOURIAN Puzant;Papakhian Daniel;Kneller Mikhail;Yeung George,KHATCHADOURIAN Puzant;Papakhian Daniel;Kneller Mikhail;Yeung George,NA
US6629607,08.10.2003,Pizza storage device,[09849416 2001-05-04T23:59:59.000Z US],A45C 11/20;A45C 11/20,GIBSON DANIELLE,"Gibson, Danielle",NA
US20070281057,07.12.2007,Container for Pizzas,[200601276 2006-05-18T23:59:59.000Z ES],A23B 7/144;A23B 7/148,CASANOVAS PERE T;CANALES CANAS FERNANDO M,Casanovas Pere Teixidor;Canales Canas Fernando Manuel,NA
US20070100495,04.05.2007,Facilitating vending of customer-configured pizza preparation kits,"[10751143 2004-01-02T23:59:59.000Z US, 60749956 2005-12-13T23:59:59.000Z US]",G06F 17/00;G06F 17/00,SIMMONS DAVID O,Simmons David Odell,NA
US4573388,05.03.1986,Pizza docker,NA,B26F 1/24;A21C 11/00;A21C 11/12;B26F 1/00;B26F 1/24,"Automated Portion Control Technology, Inc.",Sullivan Norman D.;Baker Forrest E.,NA
US6425388,31.07.2002,Pizza oven deck,[09576143 2000-05-22T23:59:59.000Z US],A21B 1/00;F24C 15/32;A21B 1/00;A21B 1/28;A47J 39/00;A47J 39/00;F24C 15/10;F24C 15/10,The Garland Group,"Korinchock, Richard John",NA
US20070090124,27.04.2007,Facilitating vending of customer-configured pizza preparation kits,"[10751143 2004-01-02T23:59:59.000Z US, 11638127 2006-12-13T23:59:59.000Z US]",G07F 11/00;G07F 11/00;G07F 9/10;G07F 9/10;G07F 11/02;G07F 11/16;G07F 11/24;G07F 11/38;G07F 11/70;G07F 11/70,SIMMONS DAVID O,Simmons David Odell,NA
US20030209592,14.11.2003,Ambidextrous sectional pizza box,"[10435460 2003-05-12T23:59:59.000Z US, 60378987 2002-05-10T23:59:59.000Z US]",B65D 5/54;A47G 21/00;B65D 85/36,"Pizza Box 2000, Inc.",Holden Christopher Guy Lawrence,NA
CA2359851,26.04.2002,PIZZA BAKING PAN,"[09/696,362 2000-10-25T23:59:59.000Z US]",A21B 5/00;A47J 37/01,"KRAFT FOODS HOLDINGS, INC.","RYWALSKI, GAIL",NA
US5508049,17.04.1996,Pizza pie with concentric rings of crust,[08080081 1993-06-18T23:59:59.000Z US],A21D 13/00;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00,"Silverback Environments, Inc.",Kordic Branko,NA
US20070093933,27.04.2007,Facilitating vending of customer-configured pizza preparation kits,"[10751143 2004-01-02T23:59:59.000Z US, 60749958 2005-12-13T23:59:59.000Z US]",G06F 17/00;G06F 17/00,SIMMONS DAVID O,Simmons David Odell,NA
WO1984003815,12.10.1984,PIZZA CONE WITH FILLING,[null 30.12.1899 null],A21D 13/00,NA,NA,NA
CA2205097,30.10.1998,MICROWAVABLE SEMI-CIRCULAR PIZZA PRODUCT AND PACKAGING COMBINATION,"[08/844,111 1997-04-29T23:59:59.000Z US]",A21D 13/00;A21C 9/08;A21C 11/00;B65D 81/34,"PAULUCCI, JENO F.","PAULUCCI, JENO F.",NA
US20070116803,25.05.2007,Combination breadsticks and pizza product,"[11561015 2006-11-17T23:59:59.000Z US, 60739009 2005-11-23T23:59:59.000Z US]",A21D 13/00;A21D 6/00;A21D 10/00,"Newsom Jon Frank;Little Caesar Enterprises, Inc.",Newsom Jon Frank,NA
US5716086,11.02.1998,Pizza paddle apparatus,NA,A47J 43/28;A21B 3/00;A21B 3/00;A47J 43/00;A47J 43/28,BIFULCO; PHIL,Bifulco Phil,NA
WO2002096206,06.12.2002,PROCESS FOR PIZZA PREPARATION,[01113232.1 30.05.2001 EP],A21C 11/00,"ADVANCED FOOD SYSTEM S.A.;GRIECO, Leonardo","GRIECO, Leonardo",NA
US20030031831,14.02.2003,Apparatus for use with pizza dough,[09923219 2001-08-07T23:59:59.000Z US],B32B 3/00;A21C 11/00;A21C 11/00,NA,Donarumia Anthony,NA
WO2009018082,06.02.2009,PIZZA AND TRAY COMBINATION AND METHODS,"[11/831,609 31.07.2007 US]",A21D 13/00;B65D 81/34,"SCHWAN'S GLOBAL SUPPLY CHAIN, INC.;RETTEY, David, Charles;PAFKO, Wayne, Michael;HASSE, Joey, J.;MCGILLIVRAY, Jim, A.;SHOMO, Robert, B., Jr.;WALTER, Michaelle, Ruth","RETTEY, David, Charles;PAFKO, Wayne, Michael;HASSE, Joey, J.;MCGILLIVRAY, Jim, A.;SHOMO, Robert, B., Jr.;WALTER, Michaelle, Ruth",NA
US6150635,22.11.2000,Single serving pizza cooker,NA,F24C 7/10;A47J 37/06;A47J 37/06;A47J 37/10;A47J 37/10,HANNON; GEORGIA A.;HANNON; TODD J.,Hannon Georgia A.;Hannon Todd J.,NA
US20090038483,13.02.2009,High density disk and ellipse for cooking pizza,NA,H05B 6/12;H05B 6/12,NA,Scorziello Dino,NA
US4661361,29.04.1987,Method of making a pizza,NA,A21D 8/02;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,MONGIELLO ANTHONY T;MONGIELLO SR LAWRENCE A;MONGIELLO SR ANGELO A,Mongiello Anthony T.;Mongiello Lawrence A.;Mongiello Angelo A.,NA
CA2650085,NA,METHOD FOR PRODUCING A CORELESS FROZEN PIZZA,NA,A21D 10/02;A21D 8/02;A21D 13/00;A23L 1/00,"SUNATORI, GO SIMON",NA,NA
US4250618,18.02.1981,Pizza cutter,NA,A21C 15/00;A21C 15/04;B26D 3/24;B26D 3/24,CUSTER MICHAEL D;RORABAUGH GENE L,Custer Michael D.;Rorabaugh Gene L.,NA
US5243899,15.09.1993,Apparatus for making a pizza topping disk,NA,A21C 9/00;A21C 9/04,"Pizza Hut, Inc.",Moshier Mark W.;Behm Larry R.;Jaax Susan,NA
US08365981,06.02.2013,Device for supporting a second pizza in a pizza box and method of use,NA,B65D 25/04,Perlsweig Leon,Perlsweig Leon,NA
EP0503302,17.09.1992,Microwave reconstitution of frozen pizza,"[666943  , US19910666943  , 66694391 1991-03-11T23:59:59.000Z US]",A21D 13/00;A21D 13/00;B65D 81/34,NESTLE SA,PELEG YIGAL,NA
EP1375360,03.01.2004,Package for pizzas,[PR20020008U 2002-06-18T23:59:59.000Z IT],B65D 85/36;B65D 5/42;B65D 5/42;B65D 85/36,PAREN SRL,GONIZZI GIANLUCA,NA
US20070241110,19.10.2007,Pizza container,[RM2004A0364 2004-07-19T23:59:59.000Z IT],B65D 21/00;B65D 6/28;B65D 8/04;B65D 8/18;B65D 45/00;B65D 85/62,Gruppo Pluripack s.r.l.,Belleggia Giulia,NA
US20140004229,03.01.2014,Pizza and Method of Preparation,NA,A21D 13/00;B65D 85/00;A21D 2/00;A23P 1/08,DeLisle Steven,DeLisle Steven,NA
US5775208,08.07.1998,Pizza pan system and method,NA,A47J 37/01;A47J 37/10;A21B 3/00;A22C 7/00;A21B 3/13;A21C 11/00;A21C 11/00;A47J 37/10;A47J 37/10,KIMPLE; ROBERT J.,Kimple Robert J.,NA
WO1996028978,27.09.1996,PIZZA PAN AND METHOD,"[08/406,313 17.03.1995 US]",A21B 3/13,"PIZZA HUT, INC.","WOODWARD, Steve;SCHEIBMEIR, Patricia;MCDANIEL, Deborah;PROCTOR, Valerie",NA
US4834995,31.05.1989,Method for preparing pizza dough,NA,A21D 13/00;A21D 13/00;A21D 17/00;A21D 17/00;A23L 1/176;A23L 1/176,CANZONERI SALAVATORE,Canzoneri Salavatore,NA
US5480031,03.01.1996,Combined pizza box lid support and cutter,NA,A45C 11/20;B65D 85/00;B26B 27/00;B26B 27/00;B65D 85/30;B65D 85/36,MAULTASCH; JONATHAN;MAULTASCH; BRUCE,Maultasch Jonathan;Maultasch Bruce,NA
US4367243,05.01.1983,Method for preparing cooking pizza,NA,A21B 3/00;A21B 3/13;A21D 13/00;A21D 13/00,"Pizza Hut, Inc.",Brummett Barry J.;O'Neill Edward E.,NA
US5523104,05.06.1996,Method of cooking pizza,NA,A23L 1/00;A47J 37/10;A47J 37/10,KIRK; ALAN J. E.,Kirk Alan J. E.,NA
US6227093,09.05.2001,Pizza docking device,[09468766 1999-12-21T23:59:59.000Z US],B26D 5/08;A21C 11/00;A21C 11/12,"RENSKY, JR. BERNARD J.","Rensky, Jr., Bernard J.",NA
US20100107899,07.05.2010,Mechanized apparatus for the preparation of pizzas,[T02008U000144 2008-10-30T23:59:59.000Z IT],A21B 3/00;A21B 3/07,CMT COSTRUZIONI MECCANICHE E TECNOLOGIA S.P.A.,Tomatis Stefano,NA
US5441751,16.08.1995,Precooked pan pizza dough,"[07872945 1992-04-21T23:59:59.000Z US, 08101376 1993-08-02T23:59:59.000Z US]",A21D 13/00;A21D 6/00;A21D 6/00;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00,VAGANI; OSVALDO E.,Vagani Osvaldo E.,NA
US5894028,14.04.1999,Pizza sauce disk and method for making same,[08410338 1995-03-24T23:59:59.000Z US],A23L 1/06;A21D 13/00;A21D 13/00;A23L 1/05;A23L 1/0562;A23L 1/39;A23L 1/39,"Doskocil Food Service Company, L.L.C.",Alden Don E.;Seideman Steven C.;Bolton James C.,NA
CA1312642,13.01.1993,COMPACT PIZZA PREPARATION AND DELIVERY VEHICLE,"[07/258,969 1988-10-17T23:59:59.000Z US]",B60P 3/00;B60P 3/025;F24C 7/10,NA,"BINGHAM, LYNN R.;HENKE, JEROME R.",NA
US20140174039,27.06.2014,PIZZA SLICE CONTAINER,NA,A47G 19/03,"PIZZA ON ""DA"" GO, LLC;PIZZA ON ""DA"" GO, LLC",DiMeo Michele N.,NA
US20060040037,24.02.2006,Prodigy pizza-John Endicott's original low-carb pizza,[10777671 2004-08-18T23:59:59.000Z US],A23C 19/00;A23C 19/00,ENDICOTT JOHNNY K,Endicott Johnny Keith,NA
US5789009,05.08.1998,Pizza pie with crust structure,"[08080081 1993-06-18T23:59:59.000Z US, 08445386 1995-05-19T23:59:59.000Z US]",A21D 13/00;A21D 13/00;A21D 13/00,"Silverback Environments, Inc.",Kordic Branko;Dube Roger R.,NA
US5968566,20.10.1999,Refrigerated yeast-raised pizza dough,[08017809 1996-05-14T23:59:59.000Z US],A21D 2/16;A21D 2/00;A21D 2/16;A21D 6/00;A21D 6/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00,MLP Operating Company,McDaniel Deborah;Aulik David J.,NA
US6626091,01.10.2003,Pizza screen manufacturing apparatus,[10374991 2003-02-28T23:59:59.000Z US],A21C 9/04;A23L 1/00;A21C 9/00;A21C 9/08;A21C 9/04;A23L 3/04;A21C 9/08;A23P 1/00;A23L 1/00;A23L 1/00;A23L 3/02;A23L 3/04;A23P 1/00;A23P 1/00,NA,"Lopresti, Joseph;Bordonaro, Jim J.;Salerno, Frank",NA
US5680956,29.10.1997,Pizza pan and method,NA,A21D 8/00;A21B 3/13;A21B 3/00;A21B 3/13,"Pizza Hut, Inc.",Woodward Steve;Scheibmeir Patricia;McDaniel Deborah;Proctor Valerie,NA
WO2005067439,29.07.2005,VENDING OF CUSTOMER-CONFIGURED PIZZA PREPARATION,"[10/751,143 02.01.2004 US]",G07F 9/10;G07F 11/24;G07F 11/38;G07F 11/70,"SIMMONS, David, Odell","SIMMONS, David, Odell",NA
EP2230184,23.09.2010,Pizza packaging,[2002639 2009-03-19T23:59:59.000Z NL],B65D 1/34;B65D 65/46;B65D 85/36,VAN BALLEGOIJEN-DE JONG TIJS,VAN BALLEGOIJEN-DE JONG TIJS,NA
US4865219,13.09.1989,Serving platter for pizza pan,[07040057 1987-04-20T23:59:59.000Z US],A47G 19/00;A47G 19/08;A47J 36/00;A47J 36/34,Logan - Barlow,Logan Eugene T.;Barlow Richard A.;Logan James E.,NA
US4785968,23.11.1988,Serving platter for pizza pan,NA,A47J 37/01;A47G 19/00;A47G 19/08;A47J 36/00;A47J 36/34,"Logan-Barlow, Inc.",Logan Eugene T.;Barlow Richard A.;Logan James E.,NA
US5009867,24.04.1991,C-gel composite pizza snack kit,"[06658618 1984-10-09T23:59:59.000Z US, 07307069 1989-02-06T23:59:59.000Z US]",A23C 19/00;A23C 19/076;A23C 19/082;A23C 20/00;A23C 20/00;A23L 1/05;A23L 1/052;A23L 1/0532;A23L 1/0562,"Kraft General Foods, Inc.",Kratochvil John F.,NA
