"ipc_class","publication_number"
"H05: Electric Techniques Not Otherwise Provided For","EP0917401"
"A23: Foods Or Foodstuffs","EP0896798"
"A47: Furniture","EP1199963"
"A47: Furniture","EP1421885"
"G07: Checking","EP1398966"
"C23: Coating Metallic Material","EP0642989"
"A47: Furniture","EP0274903"
"H05: Electric Techniques Not Otherwise Provided For","EP1872623"
"A47: Furniture","EP0824482"
"A47: Furniture","EP1658465"
"B42: Bookbinding","CA2099065"
"H05: Electric Techniques Not Otherwise Provided For","CA2145932"
"H05: Electric Techniques Not Otherwise Provided For","CA2145931"
"A23: Foods Or Foodstuffs","CA2113139"
"H05: Electric Techniques Not Otherwise Provided For","CA2009207"
"H05: Electric Techniques Not Otherwise Provided For","CA2085903"
"H04: Electric Communication Technique","CA2757794"
"H04: Electric Communication Technique","CA2435756"
"B65: Conveying","CA1149122"
"A23: Foods Or Foodstuffs","CA1170897"
"B05: Spraying Or Atomising In General","ZA199000743"
"F24: Heating","ZA199902276"
"A23: Foods Or Foodstuffs","CA2009181"
"B32: Layered Products","CA1186863"
"C12: Biochemistry","ZA199207228"
"A23: Foods Or Foodstuffs","CA2130080"
"B25: Hand Tools","CA2245796"
"A47: Furniture","CA2239525"
"G07: Checking","CA1328856"
"A23: Foods Or Foodstuffs","CA2702907"
"A23: Foods Or Foodstuffs","CA2661839"
"A23: Foods Or Foodstuffs","CA2263638"
"A47: Furniture","CA2366742"
"H04: Electric Communication Technique","EP2763092"
"B65: Conveying","EP0060047"
"A61: Medical Or Veterinary Science","EP2247196"
"A23: Foods Or Foodstuffs","EP2378899"
"B25: Hand Tools","EP0901886"
"A23: Foods Or Foodstuffs","EP2521458"
"A47: Furniture","US5605092"
"H04: Electric Communication Technique","US5148474"
"A47: Furniture","US4769252"
"A47: Furniture","US4724755"
"F25: Refrigeration Or Cooling","US4845957"
"A47: Furniture","US4838153"
"A47: Furniture","US4739154"
"H05: Electric Techniques Not Otherwise Provided For","US5371829"
"G05: Controlling","US5182439"
"H05: Electric Techniques Not Otherwise Provided For","US5260537"
"A23: Foods Or Foodstuffs","US5756138"
"B6B: Conveying","US5317118"
"B65: Conveying","US6287612"
"H04: Electric Communication Technique","US6330024"
"F24: Heating","US5413033"
"F24: Heating","US5421316"
"B65: Conveying","US5788081"
"G06: Computing","US20030193686"
"G10: Musical Instruments","US6556973"
"G06: Computing","US20040024650"
"A23: Foods Or Foodstuffs","US20040177769"
"F24: Heating","US20020134371"
"G07: Checking","US20030018488"
"G09: Educating","US20040080514"
"A23: Foods Or Foodstuffs","US20030217645"
"B05: Spraying Or Atomising In General","US20040202758"
"H04: Electric Communication Technique","US20050055403"
"C10: Petroleum, Gas Or Coke Industries","US20050218096"
"B41: Printing","US20050127594"
"H04: Electric Communication Technique","US20060117187"
"B26: Hand Cutting Tools","US20050005782"
"H04: Electric Communication Technique","US20050282556"
"B65: Conveying","US20040154944"
"G08: Signalling","US20090307096"
"A23: Foods Or Foodstuffs","US20090104329"
"B6B: Conveying","US20090071105"
"H04: Electric Communication Technique","US20100287581"
"G10: Musical Instruments","US20110047452"
"A23: Foods Or Foodstuffs","US20110287153"
"B65: Conveying","US20120312807"
"H04: Electric Communication Technique","US20120185898"
"G02: Optics","US20130293888"
"G06: Computing","US20120293393"
"G06: Computing","US20130080056"
"C10: Petroleum, Gas Or Coke Industries","US20110210089"
"G10: Musical Instruments","WO2000067091"
"A23: Foods Or Foodstuffs","US20140170276"
"A23: Foods Or Foodstuffs","EP2269464"
"H05: Electric Techniques Not Otherwise Provided For","EP1230133"
"H04: Electric Communication Technique","CA2788088"
"B65: Conveying","CA2638467"
"F24: Heating","CA2097253"
"C08: Organic Macromolecular Compounds","CA2749377"
"H04: Electric Communication Technique","US20090073965"
"B65: Conveying","US4908246"
"H04: Electric Communication Technique","US20030097594"
"G07: Checking","US20030014754"
"H04: Electric Communication Technique","US20060064346"
"G06: Computing","US20050033563"
"G06: Computing","US20110289015"
"H05: Electric Techniques Not Otherwise Provided For","US20110132903"
"G08: Signalling","US20140088856"
"H04: Electric Communication Technique","US20120263176"
"H04: Electric Communication Technique","WO1996025006"
"A23: Foods Or Foodstuffs","US5520937"
"G10: Musical Instruments","US20020035474"
"G10: Musical Instruments","US20040199506"
"H04: Electric Communication Technique","US20080287150"
"B65: Conveying","US20100155460"
"H04: Electric Communication Technique","US20130159804"
"H04: Electric Communication Technique","WO2009005865"
"H04: Electric Communication Technique","WO2001088723"
"G07: Checking","WO1997041499"
"B02: Crushing, Pulverising, Or Disintegrating","WO2003099027"
"G06: Computing","WO2010137003"
"A23: Foods Or Foodstuffs","WO2010077127"
"A47: Furniture","WO2008147309"
"A23: Foods Or Foodstuffs","US5244689"
"G10: Musical Instruments","US20040006478"
"G06: Computing","EP2644088"
"G06: Computing","EP2698106"
"H05: Electric Techniques Not Otherwise Provided For","CA2737512"
"G06: Computing","CA2775812"
"H04: Electric Communication Technique","CA2676030"
"A23: Foods Or Foodstuffs","CA2641455"
"G07: Checking","CA2281725"
"G10: Musical Instruments","CA2410599"
"G06: Computing","EP2482712"
"G05: Controlling","WO2011154389"
"F27: Furnaces","WO2006036305"
"H04: Electric Communication Technique","WO2012134920"
"F24: Heating","WO2005030020"
"F24: Heating","WO2003060383"
"F24: Heating","WO2005032317"
"A23: Foods Or Foodstuffs","WO2005006886"
"H04: Electric Communication Technique","WO2001017297"
"H05: Electric Techniques Not Otherwise Provided For","WO2014142887"
"A23: Foods Or Foodstuffs","WO1993006752"
"A47: Furniture","WO1988001719"
"H04: Electric Communication Technique","WO2006009704"
"A61: Medical Or Veterinary Science","WO2006014487"
"G10: Musical Instruments","WO2002086757"
"B65: Conveying","WO2003035513"
"A47: Furniture","WO2003082024"
"H05: Electric Techniques Not Otherwise Provided For","WO2005068567"
"H04: Electric Communication Technique","WO2008056350"
"A23: Foods Or Foodstuffs","WO2009029267"
"A23: Foods Or Foodstuffs","WO2009007398"
"B65: Conveying","WO1998022354"
"A47: Furniture","WO1998026696"
"B65: Conveying","WO2012170600"
"A23: Foods Or Foodstuffs","WO2014152022"
"F27: Furnaces","WO2014055457"
"G10: Musical Instruments","US20030125958"
"F24: Heating","EP1844687"
"H04: Electric Communication Technique","EP2262263"
"H05: Electric Techniques Not Otherwise Provided For","EP0966180"
"A61: Medical Or Veterinary Science","EP1700525"
"H04: Electric Communication Technique","EP2262246"
"H04: Electric Communication Technique","EP2262245"
"A61: Medical Or Veterinary Science","EP0933030"
"C07: Organic Chemistry","EP0836480"
"A23: Foods Or Foodstuffs","CA2636220"
"A23: Foods Or Foodstuffs","CA1233689"
"F24: Heating","CA1338880"
"C07: Organic Chemistry","CA2257006"
"A23: Foods Or Foodstuffs","CA2261052"
"B65: Conveying","CA2617845"
"B6B: Conveying","CA2659907"
"H04: Electric Communication Technique","CA2683795"
"H04: Electric Communication Technique","EP1415470"
"B65: Conveying","EP1921920"
"G10: Musical Instruments","EP2440988"
"H04: Electric Communication Technique","US20050273820"
"H04: Electric Communication Technique","US20090106122"
"H04: Electric Communication Technique","US20100161638"
"G06: Computing","US20130159040"
"G10: Musical Instruments","US08223931"
"G10: Musical Instruments","US08867708"
"G06: Computing","EP2348423"
"G07: Checking","WO2007059295"
"A23: Foods Or Foodstuffs","WO1997046117"
"H05: Electric Techniques Not Otherwise Provided For","WO2008021238"
"G07: Checking","WO2001058156"
"F24: Heating","WO2011071690"
"H01: Basic Electric Elements","EP1213947"
"A23: Foods Or Foodstuffs","EP1257174"
"B29: Working Of Plastics","EP1252991"
"B29: Working Of Plastics","EP1340693"
"A23: Foods Or Foodstuffs","EP1900281"
"A23: Foods Or Foodstuffs","EP0105056"
"C07: Organic Chemistry","EP0010738"
"B32: Layered Products","EP0205304"
"B24: Grinding","EP2361168"
"F25: Refrigeration Or Cooling","EP0595869"
"B65: Conveying","EP0592255"
"B60: Vehicles In General","EP0628277"
"F24: Heating","EP0720716"
"H05: Electric Techniques Not Otherwise Provided For","EP0344574"
"H05: Electric Techniques Not Otherwise Provided For","EP0441784"
"A23: Foods Or Foodstuffs","EP0469086"
"B01: Physical Or Chemical Processes Or Apparatus In General","EP0951856"
"B65: Conveying","EP2016832"
"A47: Furniture","EP1648235"
"G07: Checking","EP1610276"
"A23: Foods Or Foodstuffs","EP1615508"
"G05: Controlling","EP1595453"
"B01: Physical Or Chemical Processes Or Apparatus In General","EP1693103"
"A23: Foods Or Foodstuffs","EP0666028"
"A23: Foods Or Foodstuffs","EP0618776"
"B65: Conveying","EP0408548"
"B65: Conveying","EP0380306"
"B65: Conveying","EP0333565"
"A23: Foods Or Foodstuffs","EP0319287"
"C07: Organic Chemistry","EP0251006"
"A23: Foods Or Foodstuffs","EP2186413"
"G06: Computing","EP2407755"
"B65: Conveying","EP1115572"
"A61: Medical Or Veterinary Science","EP1123304"
"C12: Biochemistry","EP1141233"
"D01: Natural Or Artificial Threads Or Fibres","EP1154705"
"B6B: Conveying","EP0934881"
"B6B: Conveying","EP0778202"
"F24: Heating","EP0792083"
"G07: Checking","EP1313051"
"F25: Refrigeration Or Cooling","EP1238922"
"A23: Foods Or Foodstuffs","EP1698234"
"C07: Organic Chemistry","CA2078801"
"B65: Conveying","CA2121272"
"H01: Basic Electric Elements","CA2021990"
"F23: Combustion Apparatus","CA2453232"
"A23: Foods Or Foodstuffs","CA2412893"
"A23: Foods Or Foodstuffs","CA2400242"
"A23: Foods Or Foodstuffs","CA2550590"
"C11: Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes","CA2490944"
"C12: Biochemistry","CA2477309"
"F24: Heating","CA2565047"
"C12: Biochemistry","CA2534935"
"B6B: Conveying","CA2634433"
"B25: Hand Tools","ZA199201986"
"A47: Furniture","ZA199401068"
"G05: Controlling","CA1117190"
"B65: Conveying","ZA198906296"
"B65: Conveying","CA2108969"
"A23: Foods Or Foodstuffs","CA1328193"
"H05: Electric Techniques Not Otherwise Provided For","CA1316992"
"A61: Medical Or Veterinary Science","CA1319849"
"A47: Furniture","ZA198306960"
"F24: Heating","CA2191786"
"C07: Organic Chemistry","CA2167662"
"A61: Medical Or Veterinary Science","CA1219524"
"A47: Furniture","CA1200412"
"B05: Spraying Or Atomising In General","CA1326792"
"A23: Foods Or Foodstuffs","CA2203684"
"F25: Refrigeration Or Cooling","CA2113994"
"B65: Conveying","ZA200102038"
"A23: Foods Or Foodstuffs","ZA200502132"
"B65: Conveying","CA2323282"
"B65: Conveying","CA2343082"
"A61: Medical Or Veterinary Science","CA2345618"
"D01: Natural Or Artificial Threads Or Fibres","CA2360500"
"F24: Heating","CA2107937"
"F24: Heating","CA2032588"
"F25: Refrigeration Or Cooling","CA2353450"
"H04: Electric Communication Technique","CA2320000"
"B29: Working Of Plastics","CA2419844"
"A23: Foods Or Foodstuffs","CA2607007"
"A23: Foods Or Foodstuffs","EP2068644"
"F24: Heating","US5254823"
"B32: Layered Products","US20030064181"
"A47: Furniture","US20020164404"
"A23: Foods Or Foodstuffs","US20040156956"
"B65: Conveying","US20050230384"
"B65: Conveying","US20080087664"
"H04: Electric Communication Technique","US20090203361"
"A23: Foods Or Foodstuffs","US20100310747"
"H04: Electric Communication Technique","US20120311074"
"G10: Musical Instruments","WO2001073750"
"B65: Conveying","WO2010019758"
"H04: Electric Communication Technique","CA2813725"
"A23: Foods Or Foodstuffs","EP1788891"
"A23: Foods Or Foodstuffs","EP0146987"
"D21: Paper","EP2438123"
"C12: Biochemistry","EP0744127"
"F24: Heating","EP0949456"
"H04: Electric Communication Technique","EP1021779"
"H05: Electric Techniques Not Otherwise Provided For","EP1417915"
"H04: Electric Communication Technique","EP1382129"
"C07: Organic Chemistry","EP0550683"
"A23: Foods Or Foodstuffs","EP0587877"
"B32: Layered Products","EP0365729"
"B65: Conveying","EP0279659"
"A23: Foods Or Foodstuffs","EP2090172"
"C12: Biochemistry","EP2239317"
"B65: Conveying","EP1131983"
"C07: Organic Chemistry","EP0290216"
"C07: Organic Chemistry","EP0291106"
"A23: Foods Or Foodstuffs","EP0311154"
"C12: Biochemistry","EP1469738"
"A23: Foods Or Foodstuffs","CA2102888"
"A63: Sports","CA2166769"
"H04: Electric Communication Technique","CA2769131"
"G01: Measuring","CA2447508"
"A23: Foods Or Foodstuffs","CA2432381"
"G09: Educating","CA2820249"
"A23: Foods Or Foodstuffs","CA2477826"
"G06: Computing","CA2560386"
"H04: Electric Communication Technique","CA2583189"
"G06: Computing","CA2575858"
"H05: Electric Techniques Not Otherwise Provided For","CA1281007"
"F25: Refrigeration Or Cooling","CA2105202"
"B65: Conveying","CA1112099"
"A23: Foods Or Foodstuffs","CA1228500"
"B65: Conveying","CA2211071"
"A23: Foods Or Foodstuffs","CA1224078"
"B65: Conveying","CA1314592"
"C07: Organic Chemistry","CA1339498"
"C07: Organic Chemistry","CA2092420"
"H04: Electric Communication Technique","CA2352959"
"A23: Foods Or Foodstuffs","CA2460810"
"E04: Building","CA2402087"
"G06: Computing","CA2405778"
"C22: Metallurgy","EP2764945"
"A23: Foods Or Foodstuffs","EP0255380"
"C07: Organic Chemistry","EP1412381"
"A47: Furniture","US4059398"
"F24: Heating","US5558793"
"B65: Conveying","US4757174"
"A47: Furniture","US4758442"
"B65: Conveying","US4655126"
"F25: Refrigeration Or Cooling","US4898004"
"A47: Furniture","US4884552"
"F24: Heating","US5434390"
"F24: Heating","US5299557"
"H05: Electric Techniques Not Otherwise Provided For","US5117078"
"B65: Conveying","US5095186"
"G09: Educating","US20010012020"
"G11: Information Storage","US6208506"
"H05: Electric Techniques Not Otherwise Provided For","US5831253"
"G07: Checking","US20030105666"
"G10: Musical Instruments","US6513010"
"G09: Educating","US6172677"
"B32: Layered Products","US6184510"
"H04: Electric Communication Technique","US20040017388"
"H04: Electric Communication Technique","US20040024754"
"H04: Electric Communication Technique","US20050235310"
"A23: Foods Or Foodstuffs","US20050031762"
"B60: Vehicles In General","US20060201979"
"A23: Foods Or Foodstuffs","US20070264414"
"H05: Electric Techniques Not Otherwise Provided For","US20080099471"
"B26: Hand Cutting Tools","US20090208625"
"G06: Computing","US20090005966"
"G09: Educating","US20090025033"
"B26: Hand Cutting Tools","US20100175568"
"G09: Educating","US20100138487"
"H04: Electric Communication Technique","US20110255708"
"H04: Electric Communication Technique","US20120110512"
"A23: Foods Or Foodstuffs","US20120263846"
"H04: Electric Communication Technique","US20130013636"
"H04: Electric Communication Technique","US08520807"
"H05: Electric Techniques Not Otherwise Provided For","EP2351695"
"H05: Electric Techniques Not Otherwise Provided For","EP1393594"
"H05: Electric Techniques Not Otherwise Provided For","EP1945531"
"H05: Electric Techniques Not Otherwise Provided For","CA2448131"
"A47: Furniture","CA2558409"
"A47: Furniture","US4072093"
"B65: Conveying","US5598946"
"A47: Furniture","US5396833"
"G05: Controlling","US5528018"
"A47: Furniture","US5582095"
"B65: Conveying","US5582758"
"H05: Electric Techniques Not Otherwise Provided For","USRE031415"
"A23: Foods Or Foodstuffs","US4313961"
"B65: Conveying","US5497885"
"F27: Furnaces","US4628895"
"B65: Conveying","US5039364"
"A23: Foods Or Foodstuffs","US5310978"
"H05: Electric Techniques Not Otherwise Provided For","US5449888"
"A23: Foods Or Foodstuffs","US5204137"
"A23: Foods Or Foodstuffs","US5147994"
"F25: Refrigeration Or Cooling","US5117649"
"F24: Heating","US5638808"
"H05: Electric Techniques Not Otherwise Provided For","US6058924"
"G09: Educating","US20010000810"
"F24: Heating","US5964212"
"H05: Electric Techniques Not Otherwise Provided For","US5958277"
"B42: Bookbinding","US5962087"
"D04: Braiding","US5888346"
"H05: Electric Techniques Not Otherwise Provided For","US5783807"
"H04: Electric Communication Technique","US20030070169"
"G01: Measuring","US20010045475"
"H04: Electric Communication Technique","US20010052002"
"D04: Braiding","US6190735"
"F24: Heating","US6307185"
"B65: Conveying","US20020035515"
"H04: Electric Communication Technique","US6370523"
"B44: Decorative Arts","US6444077"
"B65: Conveying","US6379727"
"A23: Foods Or Foodstuffs","US20030183089"
"A47: Furniture","US20030029769"
"G01: Measuring","US20040162702"
"G08: Signalling","US20050222754"
"B02: Crushing, Pulverising, Or Disintegrating","US20050136173"
"C12: Biochemistry","US20070154595"
"G06: Computing","US20070140595"
"D06: Treatment Of Textiles Or The Like","US20080134444"
"G10: Musical Instruments","US20080140410"
"B6B: Conveying","US20090301922"
"A47: Furniture","US20080089987"
"A47: Furniture","US20100239724"
"G06: Computing","US20120323648"
"B29: Working Of Plastics","US20120245273"
"H04: Electric Communication Technique","US20130145439"
"G06: Computing","WO2002017567"
"A23: Foods Or Foodstuffs","WO1987004599"
"H04: Electric Communication Technique","US20020156917"
"G06: Computing","WO2013087989"
"G06: Computing","WO2012149002"
"H04: Electric Communication Technique","CA2469677"
"G07: Checking","US6424949"
"B65: Conveying","US3976188"
"A23: Foods Or Foodstuffs","US4109568"
"B65: Conveying","US5399366"
"A47: Furniture","US5530231"
"F24: Heating","US5568802"
"B26: Hand Cutting Tools","US5569285"
"B65: Conveying","US5585129"
"B65: Conveying","US5560945"
"B42: Bookbinding","US5320334"
"H05: Electric Techniques Not Otherwise Provided For","US5288962"
"B65: Conveying","US4439478"
"B65: Conveying","US5609901"
"B65: Conveying","US4390385"
"F01: Machines Or Engines In General","US5659937"
"B26: Hand Cutting Tools","US4554852"
"B32: Layered Products","US4488918"
"A23: Foods Or Foodstuffs","US4806087"
"A23: Foods Or Foodstuffs","US4877623"
"A47: Furniture","US4753215"
"H05: Electric Techniques Not Otherwise Provided For","US4703148"
"B65: Conveying","US4777053"
"A23: Foods Or Foodstuffs","US4946703"
"A23: Foods Or Foodstuffs","US4923709"
"F24: Heating","US5520099"
"B29: Working Of Plastics","US5378531"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","US5333381"
"F25: Refrigeration Or Cooling","US5191769"
"A47: Furniture","US5245150"
"A23: Foods Or Foodstuffs","US5149258"
"A47: Furniture","US5094865"
"G09: Educating","US5082229"
"A23: Foods Or Foodstuffs","US6155163"
"A23: Foods Or Foodstuffs","US6165522"
"B67: Opening Or Closing Bottles, Jars Or Similar Containers","US6161733"
"A47: Furniture","US5821503"
"F01: Machines Or Engines In General","US5704121"
"A23: Foods Or Foodstuffs","US6007855"
"H05: Electric Techniques Not Otherwise Provided For","US6005235"
"A47: Furniture","US5921173"
"F27: Furnaces","US6080963"
"B25: Hand Tools","US5933918"
"A45: Hand Or Travelling Articles","US6222160"
"B65: Conveying","US20020148831"
"H04: Electric Communication Technique","US20020059605"
"B6B: Conveying","US6447825"
"G07: Checking","US20040049777"
"A23: Foods Or Foodstuffs","US20040096561"
"A23: Foods Or Foodstuffs","US20040134922"
"A23: Foods Or Foodstuffs","US20030031773"
"A61: Medical Or Veterinary Science","US6640362"
"B65: Conveying","US20030136782"
"H02: Generation, Conversion, Or Distribution Of Electric Power","US6707272"
"F24: Heating","US6681758"
"A23: Foods Or Foodstuffs","US6595117"
"F24: Heating","US20050045173"
"B29: Working Of Plastics","US20050129814"
"G06: Computing","US20050270311"
"B25: Hand Tools","US20050188545"
"B32: Layered Products","US20070215638"
"G06: Computing","US20070096945"
"H04: Electric Communication Technique","US20080198995"
"F27: Furnaces","US20080047956"
"H05: Electric Techniques Not Otherwise Provided For","US20080023469"
"A61: Medical Or Veterinary Science","US20090292010"
"G06: Computing","US20090319166"
"G06: Computing","US20090319348"
"H05: Electric Techniques Not Otherwise Provided For","US20090212044"
"F24: Heating","US20090205509"
"B65: Conveying","US20100195939"
"A23: Foods Or Foodstuffs","US20100291263"
"B65: Conveying","US20110036796"
"A23: Foods Or Foodstuffs","US20100215825"
"B6B: Conveying","US20110259472"
"H05: Electric Techniques Not Otherwise Provided For","US20110276184"
"A23: Foods Or Foodstuffs","US20120040046"
"H04: Electric Communication Technique","US20120117602"
"B26: Hand Cutting Tools","US20130118325"
"H01: Basic Electric Elements","WO1994027887"
"B32: Layered Products","WO2003022573"
"G07: Checking","US5649114"
"A23: Foods Or Foodstuffs","WO2007061372"
"H05: Electric Techniques Not Otherwise Provided For","WO1995009519"
"C07: Organic Chemistry","WO2004003009"
"A23: Foods Or Foodstuffs","WO2003077668"
"H04: Electric Communication Technique","WO2004015519"
"G02: Optics","WO2012112616"
"A61: Medical Or Veterinary Science","WO2008124105"
"H04: Electric Communication Technique","WO2001093509"
"H04: Electric Communication Technique","US5432542"
"B65: Conveying","US6259079"
"C09: Dyes","US5410135"
"A23: Foods Or Foodstuffs","US5277105"
"A23: Foods Or Foodstuffs","US20020076474"
"H05: Electric Techniques Not Otherwise Provided For","US6501059"
"H04: Electric Communication Technique","US20040010806"
"A23: Foods Or Foodstuffs","US20040265432"
"H04: Electric Communication Technique","US20030055986"
"H04: Electric Communication Technique","US20030195814"
"H04: Electric Communication Technique","US20050289015"
"H04: Electric Communication Technique","US20070124762"
"A47: Furniture","US20080241326"
"H05: Electric Techniques Not Otherwise Provided For","US20090042705"
"H04: Electric Communication Technique","US20100175080"
"H05: Electric Techniques Not Otherwise Provided For","US20100140248"
"G10: Musical Instruments","US20120084079"
"G10: Musical Instruments","US20120310645"
"H04: Electric Communication Technique","US20140074619"
"G01: Measuring","WO2012024720"
"D06: Treatment Of Textiles Or The Like","WO2012094723"
"F24: Heating","WO1993001019"
"E05: Locks","WO2007118564"
"B65: Conveying","WO2002007119"
"B65: Conveying","WO1989008549"
"H04: Electric Communication Technique","WO2001092983"
"C08: Organic Macromolecular Compounds","WO2004011540"
"H05: Electric Techniques Not Otherwise Provided For","WO2001031260"
"H05: Electric Techniques Not Otherwise Provided For","WO2001033142"
"A61: Medical Or Veterinary Science","WO2010008504"
"B65: Conveying","WO2010092605"
"C09: Dyes","WO2010036935"
"G09: Educating","WO2014005198"
"G07: Checking","US5687322"
"C12: Biochemistry","US20050069992"
"C07: Organic Chemistry","US20090317513"
"G06: Computing","CA2499305"
"G09: Educating","EP1176575"
"H04: Electric Communication Technique","CA2789991"
"C09: Dyes","CA2794572"
"A23: Foods Or Foodstuffs","CA2051704"
"F24: Heating","CA2270907"
"G06: Computing","CA2688605"
"H04: Electric Communication Technique","CA2511916"
"A23: Foods Or Foodstuffs","CA2496578"
"G06: Computing","EP2466501"
"H04: Electric Communication Technique","US20140033071"
"H04: Electric Communication Technique","US20150012449"
"G07: Checking","CA2421601"
"G07: Checking","CA2421603"
"G07: Checking","CA2421634"
"F26: Drying","EP1262129"
"B65: Conveying","EP2233007"
"G06: Computing","EP2312538"
"G06: Computing","EP0649102"
"A47: Furniture","EP0680697"
"C07: Organic Chemistry","EP0887403"
"B29: Working Of Plastics","EP0692935"
"A23: Foods Or Foodstuffs","EP0824863"
"A47: Furniture","EP1397045"
"G10: Musical Instruments","EP2639792"
"B65: Conveying","CA2711283"
"G08: Signalling","CA2756369"
"H04: Electric Communication Technique","CA2438926"
"A23: Foods Or Foodstuffs","CA2210445"
"H05: Electric Techniques Not Otherwise Provided For","CA2700871"
"F21: Lighting","CA2302670"
"G10: Musical Instruments","CA2510525"
"H05: Electric Techniques Not Otherwise Provided For","CA2354010"
"F24: Heating","EP2195578"
"H05: Electric Techniques Not Otherwise Provided For","EP2031936"
"H04: Electric Communication Technique","EP2671051"
"G09: Educating","EP2671049"
"G07: Checking","US6195694"
"H04: Electric Communication Technique","US20020095357"
"G10: Musical Instruments","US6748426"
"F24: Heating","US20050005781"
"A23: Foods Or Foodstuffs","US20100074991"
"H04: Electric Communication Technique","US20100331015"
"H04: Electric Communication Technique","US20130097251"
"H04: Electric Communication Technique","US20120209753"
"H05: Electric Techniques Not Otherwise Provided For","US20120152941"
"H04: Electric Communication Technique","US20140095640"
"H04: Electric Communication Technique","US20140280612"
"B65: Conveying","CA2650442"
"B65: Conveying","CA2687295"
"A47: Furniture","US20140021191"
"A47: Furniture","WO1992014369"
"B42: Bookbinding","WO1995009733"
"H04: Electric Communication Technique","WO2011049845"
"H04: Electric Communication Technique","WO2012027355"
"A63: Sports","WO1997002777"
"A23: Foods Or Foodstuffs","WO2011067313"
"H05: Electric Techniques Not Otherwise Provided For","WO2006109042"
"A23: Foods Or Foodstuffs","WO2004008878"
"A23: Foods Or Foodstuffs","WO2003013259"
"A23: Foods Or Foodstuffs","WO2009051487"
"A47: Furniture","WO2000050307"
"B65: Conveying","WO2000013973"
"E04: Building","WO2011141189"
"C12: Biochemistry","WO2008030828"
"F24: Heating","WO2013158838"
"B6B: Conveying","WO2013175378"
"A61: Medical Or Veterinary Science","WO2009100333"
"A23: Foods Or Foodstuffs","WO2013167749"
"H04: Electric Communication Technique","WO2014022347"
"A23: Foods Or Foodstuffs","EP1830654"
"A23: Foods Or Foodstuffs","EP1252821"
"A23: Foods Or Foodstuffs","EP2520179"
"G08: Signalling","EP2393075"
"G08: Signalling","EP2393074"
"A23: Foods Or Foodstuffs","EP0415636"
"C07: Organic Chemistry","EP0415635"
"C11: Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes","EP0531325"
"A61: Medical Or Veterinary Science","EP0352907"
"A23: Foods Or Foodstuffs","EP0424067"
"A47: Furniture","EP0419213"
"A23: Foods Or Foodstuffs","EP0689385"
"H04: Electric Communication Technique","EP0873645"
"A23: Foods Or Foodstuffs","EP1449439"
"B65: Conveying","EP1360875"
"H04: Electric Communication Technique","EP2046043"
"H05: Electric Techniques Not Otherwise Provided For","EP2287085"
"C07: Organic Chemistry","EP1693378"
"A23: Foods Or Foodstuffs","EP1557089"
"A23: Foods Or Foodstuffs","EP0271963"
"A47: Furniture","EP0274902"
"A61: Medical Or Veterinary Science","EP0236288"
"G08: Signalling","EP2092500"
"C07: Organic Chemistry","EP1693379"
"C12: Biochemistry","EP1977761"
"G07: Checking","EP1870849"
"B6B: Conveying","EP2626310"
"C12: Biochemistry","EP1148121"
"G07: Checking","EP1077437"
"H04: Electric Communication Technique","EP0773659"
"C07: Organic Chemistry","CA2716741"
"G06: Computing","CA2772624"
"H05: Electric Techniques Not Otherwise Provided For","CA2434901"
"B65: Conveying","CA2384846"
"C07: Organic Chemistry","CA2547317"
"C12: Biochemistry","CA2633424"
"A23: Foods Or Foodstuffs","CA2554910"
"C07: Organic Chemistry","ZA200604492"
"A23: Foods Or Foodstuffs","CA2591269"
"G06: Computing","CA2585322"
"C07: Organic Chemistry","CA2022013"
"A61: Medical Or Veterinary Science","CA1326162"
"C12: Biochemistry","CA2224160"
"B32: Layered Products","ZA199510748"
"B26: Hand Cutting Tools","CA1223433"
"C11: Animal Or Vegetable Oils, Fats, Fatty Substances Or Waxes","CA2081015"
"A23: Foods Or Foodstuffs","CA2022014"
"B65: Conveying","CA2207718"
"B29: Working Of Plastics","CA2160116"
"H01: Basic Electric Elements","ZA199604685"
"G06: Computing","CA2685910"
"B6B: Conveying","CA2641428"
"C12: Biochemistry","CA2334103"
"B32: Layered Products","CA2349530"
"B26: Hand Cutting Tools","CA2349061"
"H04: Electric Communication Technique","CA2189490"
"B65: Conveying","CA2477282"
"A23: Foods Or Foodstuffs","CA2383155"
"B25: Hand Tools","EP1406525"
"H05: Electric Techniques Not Otherwise Provided For","EP2279966"
"B65: Conveying","EP0797507"
"B29: Working Of Plastics","US5538742"
"A47: Furniture","US5484621"
"H04: Electric Communication Technique","US5619250"
"A47: Furniture","US5403607"
"H02: Generation, Conversion, Or Distribution Of Electric Power","US5596479"
"A23: Foods Or Foodstuffs","US5591261"
"H02: Generation, Conversion, Or Distribution Of Electric Power","US5457600"
"G07: Checking","US5367561"
"A61: Medical Or Veterinary Science","US6149939"
"A61: Medical Or Veterinary Science","US6203839"
"A23: Foods Or Foodstuffs","US5789012"
"H05: Electric Techniques Not Otherwise Provided For","US5964353"
"H05: Electric Techniques Not Otherwise Provided For","US6091057"
"C07: Organic Chemistry","US6504048"
"C07: Organic Chemistry","US6476252"
