row no,publication number,kind code,title,priority document,priority country,earliest priority date,earliest priority year,application date,publication date,publication year,applicant,inventors,ipc classes,family members,family size,family size,wo in family,grant or application type families,granted patent
381,WO2005042020,A2,COMBINATIONS FOR HCV TREATMENT,US20030514853P,United States,2003-10-27T00:00:00Z,2003,2004-10-27T00:00:00Z,2005-05-12T00:00:00Z,2005,VERTEX PHARMA,TUNG ROGER D    US  | CHANDORKAR GURUDATT    US  | PERNI ROBERT B    US,A61K04500 | A61K03821 | A61K0317056 | A61K04506,ES2319775T3 | EP1677827A2 | KR20060120162A  | CA2543696A1 | WO2005042020A3 | AT416789T  | BRPI0415935A  | DE602004018363D1 | IL175211D0 | PT1677827E  | JP2007509950T  | CN1893978A  | US2006003942A1 | AU2004285503A1 | EP1677827B1 | MXPA06004723A  | EP1944042A1 | NO20062428A  | DK1677827T3 | RU2006118359A  | ZA200603863A  | SI1677827T1,20,18,Yes,Grant,Yes
382,WO2005042517,A2,BIPIPERIDINYL DERIVATIVES USEFUL AS INHIBITORS OF CHEMOKINE RECEPTORS,US20030516954P,United States,2003-11-03T00:00:00Z,2003,2004-11-01T00:00:00Z,2005-05-12T00:00:00Z,2005,SCHERING CORP,MILLER MICHAEL W    US  | SCOTT JACK D    US,C07D41314 | C07D40114 | A61K031445,ZA200603479A  | CN1898231A  | CA2544377A1 | KR20060100409A  | JP2008031180A  | CN101798299A  | PE05742005A1 | EP1687295A2 | JP2007510653T  | US2006025441A1 | US7652142B2 | IL175331D0 | AR046923A1 | WO2005042517A3 | AU2004285051A1 | CN1898231B ,13,11,Yes,Grant,Yes
383,WO2005042570,A1,HCV NS3-NS4A PROTEASE RESISTANCE MUTANTS,US20030514740P,United States,2003-10-27T00:00:00Z,2003,2004-10-27T00:00:00Z,2005-05-12T00:00:00Z,2005,VERTEX PHARMA,LIN CHAO    US  | LIN KAI    US,C12Q00170 | C12N01551 | A61K03816 | A61K03805 | A61K0314709 | G01N03368 | C12N00950 | C07H02104 | C12Q00137 | G01N03350 | G06F01750 | C12N01586 | C07K01418 | C12N00948 | C12Q00168,IL175218D0 | CA2551074A1 | CN1894276B  | US7494660B2 | AU2004285019A1 | RU2365624C2 | KR20060120166A  | US2005136400A1 | EP1678202A1 | JP2008502308T  | RU2006118332A  | US2009191555A1 | US2011086006A1 | US7884199B2 | HK1099318A1 | NO20062427A  | CN1894276A ,13,11,Yes,Grant,Yes
384,WO2005043118,A2,DRUG DISCOVERY METHOD,US20030515009P,United States,2003-10-27T00:00:00Z,2003,2004-10-27T00:00:00Z,2005-05-12T00:00:00Z,2005,VERTEX PHARMA,PERNI ROBERT B    US  | GATES CYNTHIA    US  | THOMSON JOHN A    US,C12Q00118 | A61K03855 | A61K03821,US2006003317A1 | WO2005043118A3,2,2,Yes,Application,No
385,WO2005051358,A1,COMPOSITION AND METHOD FOR ENHANCING BIOAVAILABILITY,US20030523421P,United States,2003-11-19T00:00:00Z,2003,2004-11-12T00:00:00Z,2005-06-09T00:00:00Z,2005,ALZA CORP,DONG LIANG C    US  | POLLOCK-DOVE CRYSTAL    US  | HAN JASMINE    US,A61K00920 | A61K00916,US2005181049A1 | PE05842005A1 | EP1684726A4 | ZA200604969A  | NO20062860A  | CN1905859A  | WO2005051358A8 | JP2007511608T  | MXPA06005630A  | IL175647D0 | KR20060109934A  | CA2546618A1 | AR048017A1 | EP1684726A1 | AU2004292415A1,13,13,Yes,Application,No
386,WO2005051419,A1,RETROVIRUS-LIKE PARTICLES AND RETROVIRAL VACCINES,WO2003US33897WO2003US33897,World Intellectual Property Organization,2003-10-25T00:00:00Z,2003,2003-10-25T00:00:00Z,2005-06-09T00:00:00Z,2005,"THE GOVERNMENT OF THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF THE DEPARTMENT OF HEALTH AND HUMAN SERVICES NATIONAL INSTITUTES OF HEALTH",OTT DAVID    US,A61K03921,US2007099276A1 | AU2003304566A1,3,3,Yes,Application,No
387,WO2005054297,A2,CELLULOSE INTERPOLYMERS AND METHOD OF OXIDATION,US20030525787P,United States,2003-11-28T00:00:00Z,2003,2004-11-23T00:00:00Z,2005-06-16T00:00:00Z,2005,EASTMAN CHEMICAL COMPANY,BUCHANAN CHARLES MICHAEL      | BUCHANAN NORMA LINDSEY      | CARTY SUSAN NORTHROP      | KUO CHUNG-MING      | LAMBERT JUANELLE LITTLE      | POSEY-DOWTY JESSICA DEE      | WATTERSON THELMA LEE      | WOOD MATTHEW DAVIE      | MALCOLM MICHAEL ORLANDO      | LINDBLAD MARGARETHA SODERQVIST,C09D01700 | C08B00322 | C08B00318 | C08B01504 | C08B01500 | A61K04738 | C08B01506 | C08B00316 | A61K00928 | A61K00920 | A61K00919 | A61K00948,WO2005054297A3 | EP1689787A2 | US2005192434A1 | US7879994B2 | BRPI0415764A  | JP2007515515T  | CN1886427A ,7,6,Yes,Grant,Yes
388,WO2005058248,A2,A METHOD OF TREATING HIV INFECTION IN ATAZANAVIR RESISTANT PATIENTS USING A COMBINATION OF ATAZANAVIR AND ANOTHER PROTEASE INHIBITOR,US20030529678P,United States,2003-12-15T00:00:00Z,2003,2004-12-14T00:00:00Z,2005-06-30T00:00:00Z,2005,BRISTOL MYERS SQUIBB PHARMA CO,COLONNO RICHARD J    US  | FRIBORG JR JACQUES    US  | ROSE RONALD E    US,A61K0317056 | A61K031551 | A61K03144,EP1696918A2 | EP1696918A4 | US2005148523A1 | WO2005058248A3,3,3,Yes,Application,No
389,WO2005058841,A2,HIV PROTEASE INHIBITING COMPOUNDS,US20030733946,United States,2003-12-11T00:00:00Z,2003,2004-12-09T00:00:00Z,2005-06-30T00:00:00Z,2005,ABBOTT LAB,DEGOEY DAVID A    US  | FLENTGE CHARLES A    US  | FLOSI WILLIAM J    US  | GRAMPOVNIK DAVID J    US  | KEMPF DALE J    US  | KLEIN LARRY L    US  | YEUNG MING C    US  | RANDOLPH JOHN T    US  | WANG XIU C    US  | YU SU    US,C07D47104 | C07D40106 | C07D21340 | C07D21330 | C07D41714 | C07D40112 | C07D49304 | C07D40114 | C07D41706,WO2005058841A3 | EP1697344A2 | EP2266971A2 | JP2007516260T  | EP2266971A3 | CA2549098A1 | MXPA06006612A  | US2005131017A1,7,6,Yes,Application,No
390,WO2005060663,A2,DERIVATIVES OF GAMBOGIC ACID AND ANALOGS AS ACTIVATORS OF CASPASES AND INDUCERS OF APOPTOSIS,US20030530256P,United States,2003-12-18T00:00:00Z,2003,2004-12-17T00:00:00Z,2005-07-07T00:00:00Z,2005,CYTOVIA INC,CAI SUI XIONG    US  | JIANG SONGCHUN    US  | ZHANG HAN-ZHONG    US,A61K0315377 | A61K031496 | A61K031352 | C07D49322 | C07D26530 | C07D31178 | C07D40502,WO2005060663A3 | US2007093456A1 | US7622497B2,2,2,Yes,Grant,Yes
391,WO2005061450,A2,HIV PROTEASE INHIBITING COMPOUNDS,US20030733915,United States,2003-12-11T00:00:00Z,2003,2004-11-10T00:00:00Z,2005-07-07T00:00:00Z,2005,ABBOTT LAB,FLENTGE CHARLES A    US  | CHEN HUI-JU    US  | DEGOEY DAVID A    US  | FLOSI WILLIAM J    US  | GRAMPOVNIK DAVID J    US  | HUANG PEGGY P    US  | KEMPF DALE J    US  | KLEIN LARRY L    US  | KRUEGER ALLAN C    US  | MADIGAN DAROLD L    US  | RANDOLPH JOHN T    US  | SUN MINGHUA    US  | YEUNG MING C    US  | ZHAO CHEN    US,C07D40506 | C07C31117 | C07D47104 | C07D40106 | C07D30720 | C07D49304 | C07D40310 | C07D21378 | C07D23332 | C07D23372 | C07D27748 | C07D40306 | C07D30742 | A61K031195 | A61K03118 | C07D41714 | C07D27746 | C07D41706 | C07D40510 | A61K031175 | C07D40906 | C07D27728 | A61K04506 | A61K031277 | C07D21340 | C07D21330 | A61K0314168 | A61K03165,EP1709037B8 | AT452889T  | MXPA06006610A  | HK1100037A1 | EP1709037A2 | DE602004024830D1 | EP2216334A1 | EP1709037B1 | CA2549389A1 | ES2337581T3 | WO2005061450A3 | EP2264032A3 | EP2264032A2 | US2005131042A1 | JP2007513944T ,11,9,Yes,Grant,Yes
392,WO2005061487,A1,HIV PROTEASE INHIBITING COMPOUNDS,US20030733227 | US20030528679P,United States,2003-12-11T00:00:00Z,2003,2004-11-10T00:00:00Z,2005-07-07T00:00:00Z,2005,ABBOTT LAB,RANDOLPH JOHN T    US  | CHEN HUI-JU    US  | DEGOEY DAVID A    US  | FLENTGE CHARLES A    US  | FLOSI WILLIAM J    US  | GRAMPOVNIK DAVID J    US  | HUANG PEGGY P    US  | HUTCHINSON DOUGLAS K    US  | KEMPF DALE J    US  | KLEIN LARRY L    US  | YEUNG MING C    US,C07D41714 | C07D40514 | C07C24324 | A61K0314178 | A61K0314166 | C07D40306 | C07C27122 | C07D41314 | C07D40914 | C07D40106 | C07D41706 | C07D40114,US2005159469A1 | EP1697348A1 | MXPA06006609A  | JP2007516255T  | CA2549228A1 | US7696226B2,6,6,Yes,Grant,Yes
393,WO2005062952,A2,COMPOSITIONS AND METHODS FOR MODULATING SIRTUIN ACTIVITY,US20030532405P,United States,2003-12-23T00:00:00Z,2003,2004-12-22T00:00:00Z,2005-07-14T00:00:00Z,2005,THE J. DAVID GLADSTONE INSTITUTES,OTT MELANIE    US  | VERDIN ERIC M    US  | JUNG MANFRED    DE,C12Q00170 | C12Q00134,WO2005062952A3 | CA2550157A1 | US2005287597A1 | US7485416B2 | EP1709206A4 | EP1709206A2,4,4,Yes,Grant,Yes
394,WO2005062979,A2,"IMMUNOASSAYS, HAPTENS, IMMUNOGENS AND ANTIBODIES FOR ANTI-HIV THERAPEUTICS",US20030531552P,United States,2003-12-19T00:00:00Z,2003,2004-12-20T00:00:00Z,2005-07-14T00:00:00Z,2005,"ARK DIAGNOSTICS, INC.",VALDEZ JOHNNY    US,G01N033569 | C07K01644,WO2005062979A3 | US2009068719A1 | EP1700122A2 | CA2550316A1 | AU2004308507A1 | US2005244816A1 | EP1700122A4,6,5,Yes,Application,No
395,WO2005063213,A1,RIGID LIPOSOMAL COCHLEATE AND METHODS OF USE AND MANUFACTURE,US20030531546P,United States,2003-12-19T00:00:00Z,2003,2004-12-20T00:00:00Z,2005-07-14T00:00:00Z,2005,"BIODELIVERY SCIENCES INTERNATIONAL, INC",KRAUSE-ELSMORE SARA L   US  | MANNINO RAPHAEL J   US,A61K04702 | A61K009127,None,1,1,Yes,Application,No
396,WO2005064008,A1,METHOD AND COMPOSITIONS FOR IDENTIFYING ANTI-HIV THERAPEUTIC COMPOUNDS,US20020375665P | US20020375834P | US20020375779P | US20020375622P,United States,2002-04-26T00:00:00Z,2002,2004-12-22T00:00:00Z,2005-07-14T00:00:00Z,2005,GILEAD SCIENCES INC,ARIMILLI MURTY N    US  | BECKER MARK M    US  | BIRKUS GABRIEL    US  | BRYANT CLIFFORD    US  | CHEN JAMES M    US  | CHEN XIAOWU    US  | CIHLAR TOMAS    US  | DASTGAH AZAR    US  | EISENBERG EUGENE J    US  | FARDIS MARIA,C12Q00144,US7649015B2 | AU2003291998A8 | AU2003231765B9 | NO20045152A  | CA2481261A1 | WO2003090691A3 | WO2003090691A2 | AU2003231765B2 | SI1509537T1 | HR20041113B1 | HR20041113A2 | CN101074242A  | CA2481285A1 | AU2003263068A1 | WO2002059545A8 | IL164491D0 | DE60315023T2 | US2005239054A1 | US2007010489A1 | US2006128692A1 | MXPA04010528A  | WO2003090690A3 | JP2005523912T  | EP1575486A4 | WO2003091264A3 | HK1073467A1 | WO2003091264A2 | WO200206767A1 | US2005209197A1 | US7462608B2 | AU2003228707A1 | ZA200409377A  | IS7555A  | WO2002059545A1 | US6700669B1 | WO2003090690A2 | HR20041114A2 | EP1509537B1 | PT1509537E  | EP1509537B9 | WO2004096818A3 | US6594539B1 | WO2004096818A2 | AU2003263067A1 | US2005197320A1 | UA80819C2 | JP2006508634T  | ES2290485T3 | US2004121316A1 | WO2004021862A3 | IL164490A  | CN1649885A  | AT367394T  | DK1509537T3 | WO2004021862A2 | CN1656109A  | AU200166840A  | WO2004021915A3 | CA2481449A1 | WO2004021915A2 | EP1620445A2 | US7107116B2 | EP1509537A2 | US2006115815A1 | US2004117053A1 | EP1301752A2 | US6937348B2 | US7017868B2 | US2007190523A1 | AU2003231766A1 | EP1501841A2 | PL374968A1 | ZA200409376A  | AU2003231765A1 | US6556706B1 | US2004087862A1 | PL374522A1 | IL164490D0 | US2007038122A1 | US2004117052A1 | CN1313472C  | JP2009112319A  | CN101041669A  | JP2006524487T  | MXPA04010527A  | NO20045150A  | DE60315023D1 | WO2005064008A9 | US7242997B2 | WO200206767A8 | US7099732B2 | NZ535828A  | IS7556A  | AU2003263067A8 | EP1354176A1 | BR200309557A  | EP1575486A2 | JP2005523922T  | US2003223083A1 | BR200309573A  | EA008775B1 | AU2001268281A1 | AU2003263068A8 | AU2003291998A1,80,26,Yes,Grant,Yes
397,WO2005066131,A1,NON-NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS,SE20040000021,Sweden,2004-01-08T00:00:00Z,2004,2004-12-30T00:00:00Z,2005-07-21T00:00:00Z,2005,MEDIVIR AB,SUND CHRISTIAN    SE  | ROUE NATHALIE    SE  | LINDSTROEM STEFAN    SE  | ANTONOV DMITRY    SE  | SAHLBERG CHRISTER    SE  | JANSSON KATARINA    SE,C07D40912 | C07D40514 | C07D40512 | C07D40914,US7915295B2 | SG149070A1 | AU2004312284A2 | NZ548367A  | CN1926108A  | JP2007519640T  | IL176740D0 | AU2004312284B2 | AT451357T  | EP1701942A1 | SE200400021D0 | EA009700B1 | DK1701942T3 | AU2004312284A1 | HK1101400A1 | ES2337794T3 | EP1701942B1 | ZA200605395A  | DE602004024584D1 | BRPI0418306A  | EA200601289A1 | CN1926108B  | SE200400585D0 | CA2550187A1 | US2008070951A1,16,16,Yes,Grant,Yes
398,WO2005072706,A2,NANOSUSPENSIONS OF ANTI-RETROVIRAL AGENTS FOR INCREASED CENTRAL NERVOUS SYSTEM DELIVERY,US20040540718P,United States,2004-01-29T00:00:00Z,2004,2005-01-21T00:00:00Z,2005-08-11T00:00:00Z,2005,BAXTER INTERNATIONAL INC.,WERLING JANE    US  | CHAUBAL MAHESH V    US  | KIPP JAMES E    US  | RABINOW BARRETT E    US,A61K00951 | A61K00914 | A61K00910 | A61K0317076 | A61K03100 | A61K031551 | A61K0317072,CN1913871A  | CA2554246A1 | AU2005209243A1 | JP2007519725T  | US2005202094A1 | ZA200606051A  | KR20060135729A  | BRPI0507308A  | RU2006130958A  | WO2005072706A3 | IL176719D0 | EP1713443A2,11,11,Yes,Application,No
399,WO2005076892,A2,METHOD FOR DETERMINING REDUCED SUSCEPTIBILITY OF HIV TO PROTEASE INHIBITOR TREATMENT,US20040542795P,United States,2004-02-06T00:00:00Z,2004,2005-02-04T00:00:00Z,2005-08-25T00:00:00Z,2005,"MONOGRAM BIOSCIENCES, INC.",CHAPPEY COLOMBE    US  | PETROPOULOS CHRISTOS J    US  | PARKIN NEIL T    US,C12Q00170 | G06F01900 | C12Q00168,EP1789579A4 | US2005214749A1 | WO2005076892A3 | CA2555138A1 | EP1789579A2,4,4,Yes,Application,No
400,WO2005077050,A2,HIV INTEGRASE INHIBITORS,US20040543670P,United States,2004-02-11T00:00:00Z,2004,2005-02-10T00:00:00Z,2005-08-25T00:00:00Z,2005,GSK LLC,JOHNS BRIAN ALVIN    US  | BOROS ERIC EUGENE    US  | KAWASUJI TAKASHI    JP  | KOBLE CECILIA S    US  | KUROSE NORIYUKI    JP  | MURAI HITOSHI    JP  | SHERRILL RONALD GEORGE    US  | WEATHERHEAD JASON GORDON    US,C07D47104,RU2006128848A  | CN1976915A  | US2007124152A1 | KR20070002006A  | EP1720856A4 | WO2005077050A3 | AU2005211733A1 | BRPI0507628A  | EP1720856A2 | NO20063958A  | IL177189D0 | CA2555176A1 | MXPA06009132A  | JP2007523086T ,13,13,Yes,Application,No
401,WO2005077406,A1,PROTEASE INHIBITORS FOR THE TREATMENT OF DIGESTIVE PATHOLOGIES,FR20040000446,France,2004-01-19T00:00:00Z,2004,2005-01-18T00:00:00Z,2005-08-25T00:00:00Z,2005,RYTEK,BUENO LIONEL    FR,A61K03855,BRPI0506953A  | EP1708740B1 | CA2552638A1 | FR2865133A1 | AT482718T  | IL176733D0 | EP1708740A1 | US2008286355A1 | DE602005023834D1 | FR2865133B1 | AU2005211965A1 | JP2007518779T  | CN1909919A  | KR20060127983A ,11,11,Yes,Grant,Yes
402,WO2005077969,A2,"INHIBITORS OF SERINE PROTEASES, PARTICULARLY HCV NS3-NS4A PROTEASE",US20040541738P,United States,2004-02-04T00:00:00Z,2004,2005-02-04T00:00:00Z,2005-08-25T00:00:00Z,2005,VERTEX PHARMA,COTTRELL KEVIN M    US  | COURT JOHN J    US  | DEININGER DAVID D    US  | FARMER LUC J    US  | PITLIK JANOS    US,C07K01418 | C07K00702 | C07K00502,CA2554999A1 | JP2008505849T  | WO2005077969A3 | US7683033B2 | CN1938332A  | EP2311851A2 | US2005215486A1 | US2010330109A1 | AU2005212257A1 | EP1711515A2,9,7,Yes,Grant,Yes
403,WO2005079752,A2,CONTROLLED RELEASE PHARMACEUTICAL COMPOSITIONS WITH IMPROVED BIOAVAILABILITY,AU20040900661,Australia,2004-02-11T00:00:00Z,2004,2005-02-10T00:00:00Z,2005-09-01T00:00:00Z,2005,RUBICON RESEARCH PRIVATE LIMITED,PILGAONKAR PRATIBHA    IN,A61K031522 | A61K00920 | A61K00900,WO2005079752A3 | EP1750717A2 | US2007196396A1 | WO2005079752A8,3,3,Yes,Application,No
404,WO2005082331,A2,EXTENDED RELEASE TABLETS OF CLARITHROMYCIN,IN2004DE00306,India,2004-02-26T00:00:00Z,2004,2005-02-25T00:00:00Z,2005-09-09T00:00:00Z,2005,RANBAXY LABORATORIES LIMITED,MANDAOGADE PRASHANT MANOHAR    IN  | RAGHUVANSHI RAJEEV SINGH    IN  | RAMPAL ASHOK    IN,A61K00920 | A61K00916 | A61K00900 | A61K0317048,EP1720524A2 | WO2005082331A3,2,2,Yes,Application,No
405,WO2005082362,A1,THERAPEUTIC COMBINATIONS,US20040540749P,United States,2004-01-30T00:00:00Z,2004,2005-01-17T00:00:00Z,2005-09-09T00:00:00Z,2005,PFIZER,HAMMOND JENNIFER LOU    US  | PATICK AMY KAREN    US,A61K0317076 | A61K031426 | A61K03141 | A61K03140 | A61K0317072 | A61K031522 | A61K04506 | A61K031551 | A61K0317056,CN1938017A  | BRPI0506493A  | US2005171038A1 | JP2007519704T  | IL177155D0 | AU2005216710A1 | CA2555171A1 | MXPA06008632A  | EP1713470A1 | NO20063483A  | KR20060114374A  | RU2006128606A ,12,12,Yes,Application,No
406,WO2005082364,A1,COMPOSITIONS COMPRISING HIV PROTEASE INHIBITOR AND CYTOCHROME P450 ENZYME ACTIVITY INHIBITOR,US20040540746P,United States,2004-01-30T00:00:00Z,2004,2005-01-17T00:00:00Z,2005-09-09T00:00:00Z,2005,PFIZER,TRAN JONATHAN QUOC    US  | SMITH EVAN BURR    US,A61K031426 | A61K03140 | A61K03100 | A61K031496 | A61K0317056 | A61K04506,NO20063826A  | US2005171037A1 | AR047584A1 | IL176675D0 | EP1713478A1 | ZA200606135A  | CA2555173A1 | MXPA06008598A  | RU2006127429A  | CN1913889A  | KR20060127939A  | BRPI0506498A  | CO5700739A2 | AU2005216712A1 | JP2007519706T ,15,15,Yes,Application,No
407,WO2005086871,A2,"COMPOUNDS, COMPOSITIONS AND METHODS FOR INHIBITING OR TREATING HIV-1",US20040795505,United States,2004-03-09T00:00:00Z,2004,2005-03-09T00:00:00Z,2005-09-22T00:00:00Z,2005,CYTOKINE PHARMASCIENCES INC,HAFFAR OMAR K    US  | GODDEN JEFFREY W    US  | BAJORATH JURGEN    US,A61K03144 | A61K0314245 | A61K03141 | C07D27110 | C07D27112 | C07D40104,WO2005086871A3 | AU2005221106A1 | CA2559507A1 | EP1722782A4 | EP1722782A2 | US2006264475A1 | US2005203150A1 | WO2005086871A9,6,5,Yes,Application,No
408,WO2005090317,A1,NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS,US20040555798P,United States,2004-03-23T00:00:00Z,2004,2005-03-16T00:00:00Z,2005-09-29T00:00:00Z,2005,F. HOFFMANN-LA ROCHE AG,DUNN JAMES PATRICK    US  | ELWORTHY TODD RICHARD    US  | HOGG JOAN HEATHER    US  | STEFANIDIS DIMITRIOS    US,C07D23714,JP4627315B2 | CA2559552A1 | US2005215554A1 | JP2007530477T  | CN1934092A  | AR048042A1 | US7288542B2 | EP1730120A1,7,7,Yes,Grant,Yes
409,WO2005097818,A2,AN ASSAY SYSTEM FOR SCREENING PROTEASE INHIBITORS,US20040553263P,United States,2004-03-15T00:00:00Z,2004,2005-03-15T00:00:00Z,2005-10-20T00:00:00Z,2005,KECK GRADUATE INSTITUTE,CHENG TING-JEN   US  | KAN CHEN-CHEN   US,C07H02100,WO2005097818A3 | US2005244819A1,2,2,Yes,Application,No
410,WO2005102328,A1,METHODS OF TREATING HIV INFECTION,US20040555768P,United States,2004-03-24T00:00:00Z,2004,2005-02-22T00:00:00Z,2005-11-03T00:00:00Z,2005,BRISTOL MYERS SQUIBB PHARMA CO,LIN PIN-FANG    US  | NOWICKA-SANS BEATA    US  | YAMANAKA GREGORY    US,A61K031522 | A61K031496 | A61K031435 | A61K031551,US2005215544A1 | PE01492006A1 | AR048324A1,4,4,Yes,Application,No
411,WO2005102391,A1,COMBINATIONS FOR THE TREATMENT OF AIDS OR HIV INFECTIONS,US20040555847P,United States,2004-03-24T00:00:00Z,2004,2005-02-18T00:00:00Z,2005-11-03T00:00:00Z,2005,BRISTOL MYERS SQUIBB PHARMA CO,LIN PIN-FANG   US  | NOWICKA-SANS BEATA   US  | YAMANAKA GREGORY   US,A61K04506 | A61K031496 | A61K0317076 | A61K0317072 | A61K0317068 | A61P03118,US2005215543A1 | AR048439A1 | PE11612005A1,4,4,Yes,Application,No
412,WO2005102392,A2,METHODS OF TREATING HIV INFECTION,US20040555767P,United States,2004-03-24T00:00:00Z,2004,2005-03-01T00:00:00Z,2005-11-03T00:00:00Z,2005,BRISTOL MYERS SQUIBB PHARMA CO,LIN PIN-FANG    US  | NOWICKA-SANS BEATA    US  | YAMANAKA GREGORY    US,A61K031551 | A61K031522 | A61K031496 | A61K04506,DE602005022420D1 | AU2005235116B2 | JP2007530540T  | US7776863B2 | DK1732604T3 | CN1956720B  | ES2347801T3 | AU2005235116A1 | PT1732604E  | PE01482006A1 | NZ549778A  | HK1096540A1 | EP1732604B1 | BRPI0509140A  | WO2005102392A3 | RU2006137555A  | AT474602T  | ZA200607959A  | RU2367439C2 | KR20070011322A  | AR048333A1 | CN1956720A  | IL178141D0 | IL178141A  | US2005215545A1 | NO20064547A  | CA2561146A1 | EP1732604A2 | HR20100434T1,23,23,Yes,Grant,Yes
413,WO2005107742,A1,NOVEL ANTIVIRAL HELIOXANTHIN ANALOGS,US20040568348P,United States,2004-05-05T00:00:00Z,2004,2005-05-02T00:00:00Z,2005-11-17T00:00:00Z,2005,YALE UNIVERSITY,YEO HOSUP    KR  | AUSTIN DAVID J    US  | LI LING    US  | CHENG YUNG-CHI    US,A61K031517 | A61K031365 | A61K03136 | C07D49304 | C07D40504 | C07D40704 | C07D49104,KR20070011451A  | US2008167353A1 | US7754718B2 | CN1980657A ,4,4,Yes,Grant,Yes
414,WO2005110411,A1,"COMBINATIONS OF SUBSTITUTED 1-PHENYL-1,5-DIHYDRO-PYRIDO- [3,2-B] INDOL-2-ONES AND OTHER HIV INHIBITORS",EP20040102173,European Patent Office,2004-05-17T00:00:00Z,2004,2005-05-17T00:00:00Z,2005-11-24T00:00:00Z,2005,TIBOTEC PHARM LTD,KESTELEYN BART RUDOLF ROMANIE    BE  | VAN DE VREKEN WIM    BE  | KINDERMANS NATALIE MARIA FRANC    BE  | CANARD MAXIME FRANCIS JEAN-MAR    BE  | HERTOGS KURT    BE  | BETTENS EVA    BE  | DE VROEY VERONIQUE CORINE PAUL    BE  | JOCHMANS DIRK EDWARD DESIRE    BE  | WIGERINCK PIET TOM BERT PAUL    BE  | WANG JING    BE  | TAHRI ABDELLAH    BE  | SURLERAUX DOMINIQUE LOUIS NEST    BE,A61K0315377 | A61K031496 | A61K031475 | A61K04506,US2007249655A1 | JP2007538053T  | EP1750708A1 | CA2563601A1 | KR20070011588A  | EA200602136A1 | MXPA06013316A  | AU2005244449A1 | ZA200610588A  | CN1953751A  | AR048962A1 | AP200603794D0 | BRPI0511144A ,13,13,Yes,Application,No
415,WO2005110428,A2,RESISTANCE-REPELLENT RETROVIRAL PROTEASE INHIBITORS,US20040568935P,United States,2004-05-07T00:00:00Z,2004,2005-05-09T00:00:00Z,2005-11-24T00:00:00Z,2005,SEQUOIA PHARMACEUTICALS,EISSENSTAT MICHAEL    US  | DELAHANTY GREG    US  | TOPIN ANDREY    US  | RAJENDRAN GNANA RAVI    US,A61K031665 | A61K031353 | A61K031343 | C07D49302,US7507763B2 | CN1997363A  | WO2005110428A3 | US7378441B2 | AU2005244121A1 | US2010056596A1 | EP1750696A2 | CA2566340A1 | EP1750696A4 | US2006258627A1 | US2005267074A1 | MXPA06012909A  | ZA200609247A  | IL179056D0 | JP2007536271T ,11,8,Yes,Grant,Yes
416,WO2005111006,A1,"RITONAVIR ANALOGOUS COMPOUND USEFUL AS RETROVIRAL PROTEASE INHIBITOR, PREPARATION OF THE RITONAVIR ANALOGOUS COMPOUND AND PHARMACEUTICAL COMPOSITION FOR THE RITONAVIR ANALOGOUS COMPOUND.",BR2004PI01742,Brazil,2004-05-13T00:00:00Z,2004,2005-05-11T00:00:00Z,2005-11-24T00:00:00Z,2005,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,BOCKELMANN MARIA ALICE    BR  | ROSATTO SIMONE SOARES    BR  | FUZETO CLAUDIO ROBERTO    BR  | VERNUCCI THIAGO BOSCARO    BR  | BAREL DANIELA CECILIA    BR  | OLIVEIRA KESLEY MORAES GODINHO    BR  | FREITAS MATHEUS PUGGINA DE    BR,C07D27728 | C07D27724,MXPA06013188A  | EP1751125B1 | US2007244168A1 | AT480526T  | BRPI0401742A  | DE602005023437D1 | CN1980907A  | US7763733B2 | HK1107699A1 | BR200401742A  | EP1751125A1 | JP2007537166T  | CN100584833C ,9,9,Yes,Grant,Yes
417,WO2005111112,A2,CELLULOSE AND ACRYLIC BASED POLYMERS AND THE USE THEREOF FOR THE TREATMENT OF INFECTIOUS DISEASES,US20040837153,United States,2004-05-03T00:00:00Z,2004,2005-05-03T00:00:00Z,2005-11-24T00:00:00Z,2005,"NOVA FLUX BIOSCIENCES, INC",RANDO ROBERT F    US  | LABIB MOHAMED E    US,C08B01120 | C08B00316 | A61K03174 | C08G06348 | C08B01300 | C08F21618 | C08F22206,JP2007536237T  | CA2565551A1 | US2005244365A1 | AU2005243219A1 | US2007148124A1 | EP1749041A2 | WO2005076794A3 | US2005176180A1 | US7015075B2 | MXPA06012780A  | CN1918702B  | WO2005111112A3 | EP1721332A2 | CN1918702A  | JP2007522675T  | BRPI0510628A  | WO2005076794A2,9,8,Yes,Grant,Yes
