applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"JULIET MARINE SYSTEMS INC","JULIET MARINE SYSTEMS INC","0","B63B1/107; B63B1/14; B63B1/248; B63B1/26; B63B1/38; B63B2001/382; B63G8/00; B63G8/08; B63H5/07; B63H5/08; F42B19/00; Y02T70/122","","31","CURCIO JOSEPH; NORMAN DAVID; SANCOFF GREGORY E","B63B1/24; B63B1/26; B63B1/32; B63G8/00; B63H5/08; F42B19/00","Waterborne Vessels/Ships; Weapons","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers; B63H: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Marine Propulsion Or Steering; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","US","United States of America","US 13218408 P; US 20028408 P; US 2011 0052642 W; US 201113212767 A; US 201161469127 P; US 201161469143 P; US 201361844767 P; US 201361876829 P; US 201414327775 A; US 37492310 P; US 37494010 P","2008; 2010; 2011; 2013; 2014","US","United States of America","2015-10-27","US 9168978 B2","2015","High Speed Surface Craft And Submersible Craft","high Speed Surface Craft; Submersible Craft","https://lens.org/009-045-727-042-567"
"JULIET MARINE SYSTEMS INC","JULIET MARINE SYSTEMS INC","0","B63B1/107; B63B1/14; B63B1/32; B63B1/38; B63B2001/145; B63B2035/006; B63B3/00; B63B35/00; B63G13/00; B63G2008/002; B63G8/00; B63G8/001; B63H1/04; B63H1/18; F42B19/125; Y02T70/122","","31","CURCIO JOSEPH; NORMAN DAVID; SANCOFF GREGORY E","B63B1/32; B63B1/38; B63B3/00; B63B35/00; B63G13/00; B63G8/00; B63H1/04; F42B19/00","Waterborne Vessels/Ships; Weapons","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers; B63H: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Marine Propulsion Or Steering; F42B: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Ammunition; Blasting -> Explosive Charges, E.G. For Blasting; Fireworks; Ammunition","","US","United States of America","US 13218408 P; US 20028408 P; US 2011 0052642 W; US 201113212767 A; US 201161469127 P; US 201161469143 P; US 201361844767 P; US 201361876829 P; US 201414327755 A; US 37492310 P; US 37494010 P","2008; 2010; 2011; 2013; 2014","US","United States of America","2015-1-1","US 2015/0000584 A1","2015","High Speed Surface Craft And Submersible Craft","high Speed Surface Craft; Submersible Craft","https://lens.org/146-217-274-700-357"
"DATAFLYTE INC","DATAFLYTE INC","0","G01D4/006; G01R21/00; G01R22/063; H04W4/005; Y02B90/243; Y02B90/246; Y04S20/325; Y04S20/42","","4","BAUER MARTIN L; DISCHNER JOHN M; MORSE DANIEL J; NOWER DANIEL L","G01R21/00; H04W84/18","Measuring; Wireless Communication Networks","G01R: Physics -> Measuring; Testing -> Measuring Electric Variables; Measuring Magnetic Variables; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201361913685 P; US 201461925137 P","2013; 2014","US","United States of America","2015-6-11","US 2015/0163849 A1","2015","Airborne Data Collection","airborne Data Collection","https://lens.org/140-374-551-021-661"
"PARROT","PARROT","0","A63H27/12; B64C2201/024; B64C2201/027; B64C2201/042; B64C2201/108; B64C27/08; B64C27/48; B64C39/024","","9","CAUBEL CHRISTINE","A63H27/133; B64C39/02","Sports; Aircraft","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","FR","France","FR 1361061 A","2013","FR","France","2015-5-15","FR 3012968 A1","2015","Drone A Voilure Tournante Avec Helices A Entrainement Direct Et Montage Rapide","Montage Rapide; Voilure Tournante Avec Helices","https://lens.org/073-374-548-819-404"
"NEXTER SYSTEMS","NEXTER SYSTEMS","0","B64C2201/086; B64C2201/088; B64C2201/208; B64C39/024; B64F1/04","","2","POSSIDENTE DOMINIQUE; SAUTET JEAN YVES","B64C39/02; B64F1/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","FR","France","FR 1400189 A","2014","FR","France","2015-7-31","FR 3016864 A1","2015","Dispositif D'accueil D'un Drone Sur Un Vehicule, Vehicule Et Drone Associes A Un Tel Dispositif","dispositif D'accueil D'un Drone Sur Un Vehicule; Drone Associes; Un Tel Dispositif","https://lens.org/057-873-692-588-416"
"KOLOR","KOLOR","0","G11B27/031; G11B27/10; H04N5/23229; H04N5/23238; H04N5/247; H04N5/265","","4","COUDRAY RENAN; JENNY ALEXANDRE","G06K9/46; G06K9/68; G06T7/00","Computing","G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","MAI ZHENG ET AL: ""Stitching Video from Webcams"", 1 dÃ©cembre 2008 (2008-12-01), ADVANCES IN VISUAL COMPUTING: 4TH INTERNATIONAL SYMPOSIUM, ISVC 2008, LAS VEGAS, NV, USA, DECEMBER 1-3, 2008. PROCEEDINGS, PART II, SPRINGER BERLIN HEIDELBERG, BERLIN, HEIDELBERG, PAGE(S) 420 - 429, XP019112243, ISBN: 978-3-540-89645-6 * le document en entier *;;Ryan Jackson: ""Shooting 360-degree video with four GoPro HD Hero cameras | Ryan Jackson Photography"", , 8 fÃ©vrier 2011 (2011-02-08), XP055099926, Extrait de l'Internet: URL:http://punkoryan.com/2011/02/08/shooting-360-degree-video-with-four-gopro-hd-hero-cameras [extrait le 2014-02-03]","FR","France","FR 1353346 A","2013","FR","France","2014-10-17","FR 3004565 A1","2014","Fusion De Plusieurs Flux Video","fusion De Plusieurs Flux Video","https://lens.org/104-621-653-454-177"
"NES & TEC CO LTD","NES & TEC CO LTD","2","B64C2201/088; B64C2201/108; B64C2201/185; B64C2201/187; B64C27/28; B64C3/38; B64C3/58; B64C39/024; B64C9/323","","4","LEE KI SEONG","B64C13/20; B64C29/02; B64C3/38","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","KR","Republic of Korea","KR 20130020070 A","2013","KR","Republic of Korea","2013-7-23","KR 101287624 B1","2013","Unmanned Aerial Vehicle For Easily Landing","Unmanned Aerial Vehicle","https://lens.org/077-864-592-688-592"
"","","0","B63B35/00; B63B35/50; B63H19/02; B64C19/00; B64C2201/021; B64C2201/08; B64C2201/084; B64C2201/102; B64C2201/141; B64C2201/201; B64C2201/205; B64C39/024; B64F1/04; B64F1/221; Y02T70/59","","6","í•˜ì¸, ë°ë ‰ ì; í•˜ì¸, ë¡œì € ì","B63B35/50; B63H19/02; B64C39/02; B64F1/04; B64F1/22","Waterborne Vessels/Ships; Aircraft","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B63H: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Marine Propulsion Or Steering; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","US","United States of America","US 201313831058 A","2013","KR","Republic of Korea","2015-11-23","KR 20150130512 A","2015","Water Vehicles","water Vehicles","https://lens.org/191-267-629-965-838"
"","GASSMANN UWE","0","B64C2201/066; G05D1/0676; G05D1/0858","","2","GASSMANN UWE","B64F1/00; B64F1/36","Aircraft","B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","DE","Germany","DE 102014003417 A","2014","DE","Germany","2015-9-17","DE 102014003417 A1","2015","Lade- Oder Batteriewechselstation FÃ¼r FluggerÃ¤te","lade- Oder Batteriewechselstation FÃ¼r FluggerÃ¤te","https://lens.org/096-236-149-585-902"
"","GABBAY RONEN IZIDOR","0","B64C2201/121; B64C39/024; F41A23/56; G05D1/0038; G05D1/0044; G05D1/0094","","1","GABBAY RONEN IZIDOR","B64C19/00; B64C27/00","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","DR. NILS MELZER, EUROPEAN PARLIAMENT, HUMAN RIGHTS IMPLICATIONS OF THE USAGE OF DRONES AND UNMANNED ROBOTS IN WARFARE, 3 May 2013 (2013-05-03), pages 7 - 13","US","United States of America","US 201361872638 P; US 201361916815 P","2013","WO","WIPO (PCT)","2015-3-5","WO 2015/029007 A1","2015","Robotic System And Method For Complex Indoor Combat","Complex Indoor Combat; robotic System","https://lens.org/059-038-426-571-332"
"UNIV HUELVA","UNIV HUELVA","0","A47J31/3609; A47J31/4403; B63C9/01; G05D1/0038","","3","ANDÃšJAR MÃRQUEZ JOSÃ‰ MANUEL; MEJÃAS BORRERO ANDRÃ‰S; MÃRQUEZ SÃNCHEZ MARCO ANTONIO; SÃNCHEZ HERRERA MARÃA REYES","B64C39/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","ES","Spain","ES 201430450 A","2014","ES","Spain","2015-10-28","ES 2549464 A1","2015","Sistema De Salvamento","sistema De Salvamento","https://lens.org/033-439-283-618-28X"
"THALES SA","THALES SA","0","G05D1/0027; G06F3/0487; G08G5/0026","","3","AGUERO CECILIA; GALIMBERTI ARNAUD; PINHEIRO JEAN PHILIPPE","G06F3/0487; G06F3/0488; G08G5/00","Computing; Signalling","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G08G: Physics -> Signalling -> Traffic Control Systems","","FR","France","FR 1302789 A","2013","FR","France","2015-6-5","FR 3014219 A1","2015","Poste De Controle De Drones","poste De Controle De Drones","https://lens.org/075-447-596-109-164"
"UNIV NANJING AERONAUTICS","UNIV NANJING AERONAUTICS","0","","","1","PU HUANGZHONG; XIA MAN; ZHEN ZIYANG","G05D1/08","Control Systems","G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","CN","China","CN 201510323031 A","2015","CN","China","2015-10-7","CN 104965515 A","2015","Attitude Control Method For Propeller Unmanned Drone Aircraft Based On Adaptive Control","Adaptive Control; attitude Control Method; Propeller Unmanned Drone Aircraft","https://lens.org/180-517-676-151-861"
"ENDRESS & HAUSER PROCESS SOLUT","ENDRESS & HAUSER PROCESS SOLUT","0","G05B2219/31131; H04W4/04; Y02P90/14; Y02P90/18; Y02P90/20","","4","DA SILVA NETO EUGENIO FERREIRA; GHEEWALA JENISH","G05B19/418; H04W4/04","Control Systems; Wireless Communication Networks","G05B: Physics -> Controlling; Regulating -> Control Or Regulating Systems In General; Functional Elements Of Such Systems; Monitoring Or Testing Arrangements For Such Systems Or Elements; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201314058378 A","2013","WO","WIPO (PCT)","2015-7-30","WO 2015/058905 A3","2015","Field Monitor Collecting Data From Different Wireless Field Device Networks","Different Wireless Field Device Networks; field Monitor Collecting Data","https://lens.org/179-746-707-604-549"
"EBAY INC","EBAY INC","0","G06Q20/322; G06Q20/3224; G06Q30/0623; H04W4/02; H04W76/02","","2","TODASCO MICHAEL","G06Q20/20; H04W4/02","Computing; Wireless Communication Networks","G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201361895926 P; US 201414154414 A","2013; 2014","WO","WIPO (PCT)","2015-4-30","WO 2015/060945 A1","2015","Systems And Methods For Completion Of Item Delivery And Transactions Using A Mobile Remote Beacon","Item Delivery; Mobile Remote Beacon","https://lens.org/122-150-748-160-010"
"PRAD RES & DEV LTD; SCHLUMBERGER CA LTD; SCHLUMBERGER HOLDINGS; SCHLUMBERGER SERVICES PETROL; SCHLUMBERGER TECHNOLOGY BV","PRAD RES & DEV LTD; SCHLUMBERGER CA LTD; SCHLUMBERGER HOLDINGS; SCHLUMBERGER SERVICES PETROL; SCHLUMBERGER TECHNOLOGY BV","1","B64C2201/122; B64C39/024; E21B47/0007","","1","ANDERSON JEFFERY; COSTE EMMANUEL; TAMBOISE GUILLAUME DANIEL","B64C39/02; E21B44/00","Aircraft; Drilling/Mining","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; E21B: Fixed Constructions -> Earth Or Rock Drilling; Mining -> Earth Or Rock Drilling; Obtaining Oil, Gas, Water, Soluble Or Meltable Materials Or A Slurry Of Minerals From Wells","","US","United States of America","US 201361903943 P","2013","WO","WIPO (PCT)","2015-5-21","WO 2015/073687 A1","2015","Unmanned Aerial Vehicles For Well Monitoring And Control","unmanned Aerial Vehicles","https://lens.org/066-593-712-448-390"
"INST FOREST ECOLOGY ENVIRONMENT & PROT CAF","INST FOREST ECOLOGY ENVIRONMENT & PROT CAF","0","","","1","TANG YANLONG; WANG XIAOYI; WEI KE; YANG ZHONGQI; ZHANG YANLONG","A01G13/00; A01K67/033; A01M99/00","Agriculture","A01G: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Horticulture; Cultivation Of Vegetables, Flowers, Rice, Fruit, Vines, Hops, Or Seaweed; Forestry; Watering; A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals; A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","CN 201510359064 A","2015","CN","China","2015-10-28","CN 104996362 A","2015","Method For Artificially Breeding Sclerodermus Pupariae Yang Et Yao And Applying Sclerodermus Pupariae Yang Et Yao To Control Trunk-boring Insects","Breeding Sclerodermus Pupariae Yang; Sclerodermus Pupariae Yang; Trunk-boring Insects","https://lens.org/114-593-218-825-495"
"ANGEL SECURE NETWORKS INC","ANGEL SECURE NETWORKS INC","1","G06F21/121; G06F21/554; H04L63/20","","3","SABIN DANIEL; SMITH BENJAMIN; SMITH CYNTHIA; SMITH III FRED HEWITT","G06F21/12","Computing","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing","","US","United States of America","US 201261671673 P; US 201261671675 P; US 201261671676 P","2012","US","United States of America","2014-1-16","US 2014/0020049 A1","2014","System And Method For Policy Driven Protection Of Remote Computing Environments","Policy Driven Protection","https://lens.org/005-420-591-990-395"
"SKYPERSONIC","SKYPERSONIC","0","B64C2201/027; B64C2201/042; B64C39/024","","3","SANTANGELO GIUSEPPE","B60F5/02","Vehicles","B60F: Performing Operations; Transporting -> Vehicles In General -> Vehicles For Use Both On Rail And On Road; Vehicles Capable Of Travelling In Or On Different Media, E.G. Amphibious Vehicles","KALANTARI ET AL.: ""Design and Experimental Validation of HyTAQ, a Hybrid Terrestrial and Aerial Quadrotor"", IEEE INTEMATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, 6 May 2013 (2013-05-06), pages 4445, 4446, - 4447, 4449, XP032506553, DOI: doi:10.1109/ICRA.2013.6631208","US","United States of America","US 201361890992 P; US 201414265386 A; US 201462060000 P","2013; 2014","WO","WIPO (PCT)","2015-7-16","WO 2015/105554 A1","2015","Enclosed Drone Apparatus And Method For Use Thereof","enclosed Drone Apparatus","https://lens.org/129-642-606-016-721"
"","CARTER GEORGE","0","A63F9/0291; F41A33/00; F41G3/26","","9","CARTER GEORGE","A63F9/02","Sports","A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For","","US","United States of America","US 15615409 P; US 201213611214 A; US 201414168951 A; US 201414498112 A","2009; 2012; 2014","US","United States of America","2015-1-15","US 2015/0018057 A1","2015","Simulated Shooting System And Method","simulated Shooting System","https://lens.org/150-817-529-266-059"
"","YANG JUN","0","","","1","YANG JUN","A01K57/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","CN","China","CN 201520362387 U","2015","CN","China","2015-10-7","CN 204682163 U","2015","Drone Clearing Device","drone Clearing Device","https://lens.org/188-998-764-484-800"
"GLOBAL AERIAL PLATFORMS LTD","GLOBAL AERIAL PLATFORMS LTD; HARTLEY PAUL ROBERT; TULLY GRAHAM PHILLIP","0","B64C1/26; B64C2201/021; B64C2211/00; B64C3/32; B64C39/024; B64C39/04","","1","HARTLEY PAUL ROBERT; HEWSON ALEXANDER JAMES; TULLY GRAHAM PHILLIP","B64C1/26; B64C3/32; B64C39/04","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","NZ","New Zealand","NZ 61491514 A","2014","WO","WIPO (PCT)","2015-8-6","WO 2015/115913 A1","2015","Multipurpose Aircraft","multipurpose Aircraft","https://lens.org/096-798-510-643-371"
"FLIR SYSTEMS","FLIR SYSTEMS","0","B63H25/08; G05D1/0206","","1","JOHNSON MARK; MOTH RICHARD; YEOMANS CHRIS","B63H25/08; G05D1/02","Waterborne Vessels/Ships; Control Systems","B63H: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Marine Propulsion Or Steering; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","US 201461934678 P","2014","WO","WIPO (PCT)","2015-8-6","WO 2015/116603 A1","2015","Hydraulic Slip Compensation Systems And Methods","hydraulic Slip Compensation Systems","https://lens.org/127-910-215-064-49X"
"CHINA RAILWAY BAOJI BRIDGE GROUP CO LTD","CHINA RAILWAY BAOJI BRIDGE GROUP CO LTD","0","","","1","CHANG YANHU; HUANG XIN; JI MINTING; LI SHUANLIN; WANG SUILI; ZHU XINHUA","G01B11/00; G06T17/00; G06T7/00","Measuring; Computing","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","CN 201420864119 U","2014","CN","China","2015-10-7","CN 204694208 U","2015","Three -dimensional Detecting System That Measures Of Bridge Steel Structure","Bridge Steel Structure; three -dimensional","https://lens.org/126-968-026-099-736"
"FLIR SYSTEMS","FLIR SYSTEMS","1","G01C21/165; G01C21/18; G01C23/00","","18","JOHNSON MARK; MILLS WARWICK; STOKES PAUL; YEOMANS CHRIS","G01C21/16; G01C21/18; G01C23/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","US","United States of America","US 201461942517 P","2014","WO","WIPO (PCT)","2015-8-27","WO 2015/126678 A1","2015","Acceleration Corrected Attitude Estimation Systems And Methods","acceleration Corrected Attitude Estimation Systems","https://lens.org/029-186-887-259-153"
"ELEMENT INC","ELEMENT INC","0","H04L63/061; H04L63/068; H04L63/0861; H04L63/107; H04L9/088; H04L9/3226; H04L9/3231; H04W12/04; H04W12/06; H04W12/08","","2","ABRAMS DANIEL; PEROLD ADAM","H04L29/06; H04W12/04; H04W12/06","Electric Communication/Television; Wireless Communication Networks","H04L: Electricity -> Electric Communication Technique -> Transmission Of Digital Information, E.G. Telegraphic Communication; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","US","United States of America","US 201461992783 P","2014","US","United States of America","2015-11-19","US 2015/0334562 A1","2015","System And Method For Electronic Key Provisioning And Access Management In Connection With Mobile Devices","Access Management; Electronic Key; Mobile Devices","https://lens.org/030-041-466-687-908"
"FLIR SYSTEMS","FLIR SYSTEMS","0","B63B49/00; G01C21/203","","18","GATLAND CHRISTOPHER DANIEL; JOHNSON MARK; TREMBLAY MARCEL; WELLS GREG","B63B49/00; G01C21/20; G01C23/00","Waterborne Vessels/Ships; Measuring","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","US","United States of America","US 201461949864 P","2014","WO","WIPO (PCT)","2015-9-11","WO 2015/134759 A1","2015","Sailing User Interface Systems And Methods","sailing User Interface Systems","https://lens.org/097-173-680-313-902"
"","G A M PROGETTI DI GUZZARDI ANDREA E GUFFANTI MARCO SNC","0","A63H27/12; B64C2201/027; B64C2201/108; B64C39/024","","1","CANEPA GUIDO; GUFFANTI MARCO; GUZZARDI ANDREA; TARTARINI GIAN LUCA","B64C39/02","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","IT","Italy","IT MI20140394 A","2014","WO","WIPO (PCT)","2015-9-17","WO 2015/135951 A1","2015","Rotating-wing Drone, With Intrinsically Protective And Accident Prevention Supporting Structure","Accident Prevention Supporting Structure; rotating-wing Drone","https://lens.org/189-439-522-590-059"
"","PARDELL RICARD","0","B08B1/006; B08B3/024; B08B5/04; B64C2201/024; B64C2201/027; B64C2201/12; B64C2201/128; B64C2201/182; B64C39/024; F24J2/461; Y02B10/20","","1","PARDELL RICARD","B08B1/00; B08B3/02; B08B5/04; B64C39/02; F24J2/46","Cleaning; Aircraft; Heating/Ventilating","B08B: Performing Operations; Transporting -> Cleaning -> Cleaning In General; Prevention Of Fouling In General; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F24J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Heating; Ranges; Ventilating -> Production Or Use Of Heat Not Otherwise Provided For","","US","United States of America","US 201461974966 P","2014","WO","WIPO (PCT)","2015-10-8","WO 2015/150529 A1","2015","Agcfds: Automated Glass Cleaning Flying Drone System","Automated Glass Cleaning Flying Drone System","https://lens.org/065-483-588-077-188"
"SHENYANG INST AUTOMATION","SHENYANG INST AUTOMATION","0","","","1","LI BIN; LIANG ZHIDA; LIU QIYU; WANG CONG; ZHANG GUOWEI; ZHANG HANDUO","G01C25/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","CN 201520476006 U","2015","CN","China","2015-10-21","CN 204718616 U","2015","Portable Indoor Mobile Robot Navigation Performance Test And Appraisal System","Appraisal System; portable Indoor Mobile Robot Navigation Performance Test","https://lens.org/169-424-118-945-455"
"FUJIAN WEISHENG SECURITY EQUIPMENT TECHNOLOGY CO LTD","FUJIAN WEISHENG SECURITY EQUIPMENT TECHNOLOGY CO LTD","0","","","1","FU YINGWEI","F41J1/01; F41J9/04","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","CN 201520252837 U","2015","CN","China","2015-10-21","CN 204718500 U","2015","Aquatic Sports Target Drone","aquatic Sports Target Drone","https://lens.org/050-927-684-645-165"
"JIANGXI HONGDU AVIAT IND GROUP","JIANGXI HONGDU AVIAT IND GROUP","1","","","1","FU SONGHAI; HE MINGQING; JIANG YA NAN; LENG ZHIHUI; LI TAIAN; LU SEN; SHEN LIANG; XIN RONGTI; YANG BO; YANG XIUMAO; YU YUHUA; ZHANG HONG","B64C1/38; F41J9/08","Aircraft; Weapons","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","CN 201520251903 U","2015","CN","China","2015-10-28","CN 204730759 U","2015","Target Drone Aerodynamic Layout","target Drone Aerodynamic Layout","https://lens.org/124-764-987-040-082"
"ACT LIGHTING DESIGN; PUY DU FOU INTERNAT","ACT LIGHTING DESIGN; PUY DU FOU INTERNAT","0","G05D1/0027; G05D1/102","","2","BOLSEE BENOIT; BUYS KOEN; FELINTO DALAI QUINTANILHA","G05D1/00; G05D1/10","Control Systems","G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","EP","European Patent Office","EP 14305662 A","2014","WO","WIPO (PCT)","2015-11-12","WO 2015/169474 A1","2015","Flying Drone And Method For Controlling The Same","flying Drone","https://lens.org/109-543-444-262-487"
"AIRBUS GROUP SAS","AIRBUS GROUP SAS","0","B64C1/12; B64D43/00; B64F5/0009; G01F1/42; G01P5/14; G01P5/165","","4","ALTMANN HORST; HEUER THOMAS","B64D43/00; B64D47/00; G01L19/00","Aircraft; Measuring","B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; G01L: Physics -> Measuring; Testing -> Measuring Force, Stress, Torque, Work, Mechanical Power, Mechanical Efficiency, Or Fluid Pressure","","DE","Germany","DE 102014010293 A","2014","CA","Canada","2016-1-11","CA 2897085 A1","2016","Sensing Orifice For An Aircraft","sensing Orifice","https://lens.org/031-803-141-833-975"
"","BENDT APS","0","A61G2005/1051; A61G2005/1089; A61G5/04; A61G5/06; A61G5/10","","1","BENDT MADS","A61G5/04; A61G5/06; A61G5/10","Medical","A61G: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Transport, Personal Conveyances, Or Accommodation Specially Adapted For Patients Or Disabled Persons; Operating Tables Or Chairs; Chairs For Dentistry; Funeral Devices","","DK","Denmark","DK 201400332 A","2014","WO","WIPO (PCT)","2016-12-30","WO 2015/197069 A1","2015","Chassis For Vehicle","","https://lens.org/155-431-252-219-961"
