title_phrases,n
systeme De Distribution Global D'energie Telle Que De L'hydrogene Liquide,1.0
Systeme De Localisation De Cibles Utilisant Un Tel Transpondeur,1.0
systeme De Reperage Dynamique,1.0
systeme Electronique,1.0
Systems Therefor,1.0
tactical Air Navigation Antenna System,1.0
tactical Drone,1.0
Take-off Assembly,1.0
take-off Vehicle,1.0
Taking Aerial Photographs,1.0
Taking Encarsia Formosa Gahan,1.0
Taking Measurements,1.0
tank Gun Phugoid Motion Target Drone,1.0
Tape Behind Drone,1.0
Target Car,1.0
target Drone Aerodynamic Layout,1.0
Target Flying,1.0
target Practice Rifle Laser Aligning Gear,1.0
Target Region,1.0
target Rotating Device,1.0
Target Searching,1.0
target-record Drone,1.0
task Equipment Installation Vehicle,1.0
tbm Tunnel Clearance Displacement,1.0
technical Control,1.0
technology Method,1.0
telematic Locomotive Microfluidic Analysis,1.0
teleoperation Method,1.0
telesopic Masthead,1.0
Television Camera Frame Frequency Drift,1.0
Terrain Relief,1.0
terrestrial Reference System,1.0
Territorial Bees,1.0
Terrorist Threats,1.0
test Target,1.0
Test Via,1.0
Testing Brake Performances,1.0
Testing Chalkbrood Disease-resisting Capability,1.0
therapeutic Medium,1.0
thermal Management,1.0
thiazolidinedionderivate Mit Antidiabetischen,1.0
Things-enabled Remote Controls,1.0
three -dimensional,1.0
Three-dimensional Colourful Digital System,1.0
three-dimensional In-situs Vision Measuring-value,1.0
three-wing Twin-airscrew Type Drone Uav Automatic Control System,1.0
Thrombus Medicament,1.0
Thrust Forces,1.0
thrust Vectoring Nozzle,1.0
Total Result,1.0
Touched-down Drone,1.0
Tracking Aerial Targets,1.0
Tracking Low-flying Targets,1.0
Tracking System,1.0
Trading System,1.0
Training Method,1.0
Transceiver Tag,1.0
transducer Matrix Film,1.0
Transfer Stimulating Factor,1.0
transmission Signal Shaping Systems,1.0
Transmission/reception Station,1.0
Transport System,1.0
Transportable Structures,1.0
Transportation-related Context,1.0
transverse Mounted Gas Turbine Engine,1.0
transverse-mounted Power Turbine Drive System,1.0
Treatment Fluids,1.0
Tricycle Landing Gear,1.0
Trim59 Protein,1.0
Triple-axis Ball Head,1.0
Tropical Cyclones,1.0
truffle Nutritional Tablets,1.0
Trunk-boring Insects,1.0
Trypanosoma Brucei Leucyl Trna Synthetase,1.0
tumbler Rotation Target Drone,1.0
Turbine Driving Depression,1.0
turbine Powered Personal Flight System,1.0
Turbine Speed,1.0
Turbojet Engine System,1.0
turbulence-free Camera System,1.0
twin-engine Aircraft,1.0
twin-engine Drone,1.0
twin-fuselage Rotorcraft Drone,1.0
Two Different Types Correlate,1.0
Two Opto-electronic Sensors,1.0
two Tier Verification System,1.0
Type Dodgem,1.0
Type Movable Target Drone,1.0
Uav Based Data,1.0
ultra Wide Band Navigation System,1.0
Ultrasound Telemetry,1.0
umbilical Constraint Mechanism,1.0
Un Objet,1.0
Un Tel Dispositif,1.0
unbemannter Hubschrauber,1.0
under-ice Fixed-depth Ice Breaking Bullet,1.0
Underground Utility,1.0
underwater Robotic Complex,1.0
Underwater Structure,1.0
Undesirable Overtones,1.0
Une Sonde De Mesure Embarquee,1.0
Unit Processing Signals,1.0
universal Quantitative Detection Method,1.0
universal Two-into-one Laser Sighting Device,1.0
unmanned Aerial Copter,1.0
Unmanned Aerial Power Plant Drone,1.0
unmanned Aerial System Drone Situational Awareness Flight Safety,1.0
unmanned Aerial Vehicle I.e,1.0
Unmanned Aerial Vehicle Launcher,1.0
Unmanned Aerial Vehicles uav),1.0
Unmanned Air Vehicle,1.0
Unmanned Aircraft,1.0
unmanned Combat Air Vehicle,1.0
Unmanned Delivery Service,1.0
unmanned Helicopter,1.0
unmanned Machine Real Time Target Information Solving Machine,1.0
Unmanned Reconnaissance Drones,1.0
Unmanned Ship,1.0
unmanned Vehicle Civil Communications Systems,1.0
Unter Wasser,1.0
Upper Propulsion Device,1.0
Urban Areas,1.0
User Input,1.0
User-action Based Command,1.0
Uses Transponder Echo Beacon,1.0
Validating Sequence,1.0
variable DÃ¤mpfung Der Haptischen RÃ¼ckkopplung FÃ¼r Die BewegungsÃ¼bertragung Bei Ã„nderung Der Fluglage Eines Luftfahrzeugs,1.0
Variable-rate Pesticide Spraying,1.0
Vast Propulsion,1.0
vehicle Drive Control Device,1.0
Vehicle Position,1.0
vehicle Sensor,1.0
Vent Duct,1.0
verfahren Und GerÃ¤t Zur Fernbedienung Einer Drohne,1.0
verfahren Und System Zum Erweitern Des Elektronischen Betriebsbereichs Eines Fahrzeugs,1.0
verfahren Und System Zur Gesicherten Autorisierung Der Aktivierung Einer Kritischen Funktion,1.0
verfahren Und Vorrichtung Zum Ausschalten Der Varroa-milben,1.0
verfahren Und Vorrichtung Zur Dateisicherung,1.0
verfahren Und Vorrichtung Zur Identifikation Und Neutralisierung Von Unterwasserminen,1.0
verfahren Und Vorrichtung Zur Themischen ÃœberprÃ¼fung Des Bauzustandes Von Windkraftanlangen,1.0
Verfahren Zu Deren Herstellung Und Pharmazeutischen Zusammenstellungen,1.0
Verfahren Zu Seiner Gewinnung Und Seine Verwendung,1.0
verfahren Zum Betrieb Einer Gastherme,1.0
verfahren Zum Orten Und RÃ¤umen Von Seeminen,1.0
verfahren Zum Starten Einer Drohne,1.0
verfahren Zur Ausbringung Eines Fallschirms,1.0
Vertical Flight,1.0
Vertical Force,1.0
Vertical Plane,1.0
Vertical Starting,1.0
verwendung Von Isatin- Und Oxindolderivaten Zur Herstellung Von Arzeneimittel FÃ¼r Die Behandlung Von Mykobakteriellen Erkrankungen,1.0
vibration Device,1.0
Video Camera Internal Parameters,1.0
Video Control Hardware,1.0
Video Stream,1.0
video Telemetry Apparatus,1.0
Viral Diseases,1.0
virtual Machine Asynchronous Patch Management,1.0
virtual Remote Functionality,1.0
Virtual World Advertising,1.0
Vision Field,1.0
Vision Sensors,1.0
Visual Stimulation,1.0
Vitalizing Properties,1.0
Vitamin D3,1.0
vitulin E,1.0
Voilure Tournante Avec Helices,1.0
Voilure Tournante De Type Quadricoptere,1.0
Voilure Tournante Muni D'une Camera Video Delivrant Des Sequences D'images Stabilisees,1.0
vorrichtung Zum Absetzen Und Wiederaufnehmen Einer Drohne,1.0
vorrichtung Zum Bergen Von Unbemannten Wiederverwendbaren Flugkoerpern,1.0
vorrichtung Zur Giersteuerung Einer DÃ¼se Mit Rechteckigem Austrittsquerschnitt,1.0
vorrichtung Zur Steuerungshilfe Eines GelÃ¤ndefahrzeugs,1.0
vorrichtung Zur Vernichtung Von Ankertauminen,1.0
Vue D'un Drone,1.0
Wall Supervising Guard,1.0
war Sub Drone War Subs,1.0
Warning Pilot,1.0
wasp Artificial Insemination Operation Method,1.0
Water Coarse Stream Image,1.0
Water Drop,1.0
Water Skier Controlled Drone,1.0
water Vehicles,1.0
wave-rider Configuration Unmanned Target Drone,1.0
Weapon Control Device,1.0
Wearable Personal Exoskeleton Heavy Load Flying Machine,1.0
Wheel Rims,1.0
wide Band Aerial,1.0
Widespread Commercialization,1.0
Wie Seeminen,1.0
Wild Bumblebee,1.0
wild Fire,1.0
Wind Generation Technologies,1.0
Wind Generator,1.0
wind Noise Reducing Device,1.0
wind Propulsion Power System,1.0
Wind Turbine Blades,1.0
Wind Turbines,1.0
windabweiser Zum Reagieren Auf Die Fahrzeuggeschwindigkeit,1.0
Wing Pneumatic Layout,1.0
wing Structure,1.0
wire-guided Assembly,1.0
Wireless Communication Network,1.0
wireless Communications Management System,1.0
Wireless Network,1.0
Wireless Power Transfer Systems,1.0
wireless Target Reading Remote Control Device,1.0
wireless Target Self-starting Operating System,1.0
Wound-healing Effect,1.0
Wound-healing Gel,1.0
x-ray Inspection,1.0
xiongfeng Wine,1.0
Yew Alcohol,1.0
zinc Electrode,1.0
zusammengesetzte Lautsprecheranordnung Und Verfahren Zu Deren Ansteuerung,1.0
zyklische Amin Derivate Von Substituierten Chinoxalin 2.3-dione Als Glutamat-rezeptor- Antagonisten,1.0
