Title,Publication number,Publication date,Inventor(s),Applicant(s),International classification,Cooperative Patent Classification,Application number,Date of application,Priority number(s),Patents cited in the search report,Literature cited in the search report,Patents cited during examination,Literature cited during examination,Other patent citations,Other literature citations,Patents used in opposition,Literature used in opposition,Patents cited by the applicant,Literature cited by the applicant,International search citation,International search NPL citation,Supplementary international search citation,Supplementary international search NPL citation
Pizza screen manufacturing apparatus,US6626091 (B1),30/09/2003,LOPRESTI JOSEPHâ€‚[US];  BORDONARO JIM Jâ€‚[US];  SALERNO FRANKâ€‚[US],"LOPRESTI JOSEPH, ; BORDONARO JIM J, ; SALERNO FRANK",A21C9/04; A21C9/08; A23L1/00; A23L3/04; A23P1/00; A23L1/00; A21C9/04; A21C9/08; A23L3/04; A23P1/00,B21D13/10; B21D13/04; B21D53/00,US20030374991,20030228,US20030374991 20030228,US3221672 (A); US3358618 (A); US3725974 (A); US3760715 (A); US3892171 (A); US4066796 (A); US4112834 (A); US4152976 (A); US4197794 (A); US4283431 (A); US4367243 (A); US5023096 (A); US5117749 (A),,,,,,,,USD459939S (S1),,,,,
Rotary sauce dispensing apparatus,US2003161947 (A1); US7074277 (B2),28/08/2003,TUYLS JAMES Mâ€‚[US];  JEPSON ANTONIO Jâ€‚[US];  SALMELA JUHA Kâ€‚[US];  DEWING JOHN Wâ€‚[US],AUTOMATIC BAR CONTROLS INCâ€‚[US],A21C9/04; B05C5/02; B05C11/10; B05D3/12,B05C5/0216; A21C9/04; B05C11/10,US20030365709,20030210,US20030365709 20030210; US20020355262P 20020208,US3631818 (A); US3717752 (A); US3725974 (A); US3868048 (A); US4112834 (A); US5092229 (A); US5400700 (A); US5429039 (A); US5701805 (A); US5727448 (A); US5768976 (A); US5839357 (A); US6032610 (A); US6135012 (A); US6259068 (B1); US6283015 (B1); US6325016 (B1); US6450361 (B1); US6526874 (B1); US6545252 (B2); US6629493 (B1); US6705209 (B2),,,,,,,,US6626996 (B1),,,,,
System for pumping and dispensing sauce,US6892629 (B2); US2003159596 (A1),28/08/2003,TUYLS JAMES Mâ€‚[US];  JEPSON ANTONIO Jâ€‚[US];  SALMELA JUHA Kâ€‚[US];  DEWING JOHN Wâ€‚[US],AUTOMATIC BAR CONTROLS INCâ€‚[US],A21C9/04; B05C5/02; B05C11/10; A01J11/00,A21C9/04; B05C5/0216; B05C11/10,US20030364689,20030210,US20020355262P 20020208; US20030364689 20030210,US3631818 (A); US3725974 (A); US3868048 (A); US4112834 (A); US5092229 (A); US5400700 (A); US5429039 (A); US5701805 (A); US5727448 (A); US5768976 (A); US5839357 (A); US6032610 (A); US6135012 (A); US6259068 (B1); US6283015 (B1); US6325016 (B1); US6450361 (B1); US6526874 (B1); US6545252 (B2); US6629493 (B1); US6705209 (B2),,,,,,,,US6626996 (B1),,,,,
Sauce pumping apparatus,US6892901 (B2); US2003160069 (A1),28/08/2003,TUYLS JAMES Mâ€‚[US];  JEPSON ANTONIO Jâ€‚[US];  SALMELA JUHA Kâ€‚[US];  DEWING JOHN Wâ€‚[US],AUTOMATIC BAR CONTROLS INCâ€‚[US],A21C9/04; B05C5/02; B05C11/10; G01F11/06,B05C5/0216; A21C9/04; B05C11/10,US20030364301,20030210,US20030364301 20030210; US20020355262P 20020208,US3121449 (A); US3601845 (A); US4211345 (A); US4293010 (A); US4700899 (A); US4801097 (A); US5407102 (A); US5643075 (A); USRE36178E (E); US6325016 (B1); US2003160069 (A1),,,,,,,,US6626996 (B1),,,,,
Double sealed pizza package,US7247329 (B2); US2004151811 (A1),05/08/2004,MATTISSON LENNARTâ€‚[US],KRAFT FOODS HOLDINGS INCâ€‚[US],B65D75/32; B65D85/36; C12C1/027,B65D75/32; B65D2585/366,US20030356282,20030131,US20030356282 20030131,US1413064 (A); US5167974 (A); US5246720 (A),,,,,,,,US3392033 (A); US3604616 (A); US3637132 (A); US3648428 (A); US3854653 (A); US3861529 (A); US3861576 (A); USD250249S (S); USD251895S (S); US4196809 (A); US4361227 (A); US4410089 (A); US4611456 (A); US4656068 (A); US4815602 (A); US4834247 (A); US4834427 (A); US4881359 (A); US4890744 (A); US4891482 (A); US4940867 (A); USD311488S (S); US5247149 (A); US5839832 (A); US5894929 (A); USD425416S (S); USD426152S (S); US6168812 (B1); US6244746 (B1); US6325542 (B1); EP0470771 (A2); GB2049604 (A); JPH04201882 (A),,,,,
Pizza and crust having a square aspect and an irregular edge,US2004146622 (A1),29/07/2004,WALTER SHELLYâ€‚[US];  PAFKO WAYNE Mâ€‚[US];  MORAD MOHAMED Mâ€‚[US],"WALTER SHELLY, ; PAFKO WAYNE M, ; MORAD MOHAMED M",A21C9/04; A21D8/02; A21D13/00; A21D10/00,A21D13/007; A21C9/04; A21D8/02,US20030354896,20030129,US20030354896 20030129,,,,,,,,,,,,,,
Folding and expanding top wear hanger,US7021507 (B2); US2004129744 (A1),08/07/2004,CHOI JUNWONâ€‚[US];  HYUN SUNJINâ€‚[US],"CHOI JUNWON, ; HYUN SUNJIN",A47G25/32; A47G25/40; A41D27/22,A47G25/4023; A47G25/32,US20030334277,20030102,US20030334277 20030102,US589901 (A); US923786 (A); US959687 (A); US1876237 (A); US2425475 (A); US2509754 (A); US2518367 (A); US2906442 (A); US3285118 (A); US3315854 (A); US3513746 (A); US3531028 (A); US4114786 (A); US4116104 (A); US4117960 (A); US4227632 (A); US4813581 (A); US4988021 (A); US5480076 (A),,,,,,,,,,,,,
Method for reducing heat loss of hot pizzeria pizza shipped in corrugated box packaging,US2003079445 (A1); US6748722 (B2),01/05/2003,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/20; B65D5/22; B65D5/42; B65D5/66; B65D85/36; B65B5/04; B65B5/00,B65D5/665; B65D5/6652; B65D5/6658; B65D5/2033; B65D5/2047; B65D5/22; B65D81/3853; B65D5/42; B65D2585/366; Y10S229/906,US20020319968,20021216,US20020319968 20021216; US20000730294 20001205; US20000551245 20000417; US19990394784 19990913; US19980061302 19980416; US19960731586 19961016,US4717069 (A); US5209392 (A); US5253800 (A); US5402930 (A); US5423477 (A); US5535940 (A); US5704483 (A); US5799864 (A),,,,,,,,US4096948 (A); US4260060 (A); US5077455 (A); US5549241 (A),,,,,
Scoopable dough and products resulting therefrom,US2003138540 (A1); US6803067 (B2),24/07/2003,BRAGINSKY IRINA Eâ€‚[US];  GRAVES JOHNâ€‚[US];  HASSE RANDYâ€‚[US];  HENRY LEOLAâ€‚[US];  MARTIN JALAYNEâ€‚[US];  YARUSSO CARAâ€‚[US],"BRAGINSKY IRINA E, ; GRAVES JOHN, ; HASSE RANDY, ; HENRY LEOLA, ; MARTIN JALAYNE, ; YARUSSO CARA, ; GENERAL MILLS, INC",A21D6/00; A21D10/02; A21D10/04; A21D10/00,A21D10/025; A21D6/001; A21D10/045,US20020317741,20021212,US20000523133 20000310; US20010898773 20010702; US20020224545 20020819; US20020317741 20021212,US6391366 (B1); US6436458 (B2); US6589583 (B1); US6602529 (B1); US6660311 (B2),,,,,,,,US3649304 (A); US3767421 (A); US3879563 (A); US4022917 (A); US4146652 (A); US4381315 (A); US4456625 (A); US4504510 (A); US4526801 (A); US4624856 (A); US4792456 (A); US4803084 (A); US4828853 (A); US4911939 (A); US4917914 (A); US4961937 (A); US5079012 (A); US5405636 (A); US5458903 (A); US5466476 (A); US5773068 (A); US5792499 (A); US5855945 (A); US5858440 (A); US6165524 (A); EP0145550 (A2); EP0620974 (A2); WO9904640 (A2),,,,,
Amoroso wooden perforated peels,US2004156963 (A1),12/08/2004,AMOROSO NICOLOâ€‚[US],AMOROSO NICOLO,A21B3/00; A23P1/00,A21B3/003,US20030313579,20030212,US20030313579 20030212,,,,,,,,,,,,,,
Efficient food carton,US6892932 (B2); US2004099720 (A1),27/05/2004,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/50; B65D5/66; B65D5/20,B65D5/665; B65D5/5021; B65D2301/10; Y10S229/906; Y10S229/936; Y10S229/904; Y10S229/933,US20020306683,20021127,US20020306683 20021127,US2375843 (A); US2924372 (A); US3005584 (A); US3899119 (A); US4265393 (A); US4431128 (A); US5381949 (A); US5549241 (A); US5553771 (A); US5657925 (A); US5752651 (A); US5788081 (A); US5890648 (A); US6213389 (B1); US6568586 (B1),,,,,,,,,,,,,
"Novel food material technology with controllable functional characteristics and industrial process applications, and the resulting fabricated foods",US2003091698 (A1); US7691430 (B2),15/05/2003,MARSLAND CHARLES Hâ€‚[US],"MARSLAND CHARLES H, ; MEDWELL FOODS, INC",A21D2/26; A21D13/06; A23L1/164; A23L1/217; A23G3/00,A21D2/265; A21D2/266; A21D13/06; A23L1/164; A23L1/1645; A23L1/2175; A23V2002/00; Y10S426/804; A23V2002/00; A23V2250/5486; A23V2250/5488; A23V2250/5428; A23V2250/1842; A23V2002/00; A23V2250/5486; A23V2250/54246; A23V2250/1842; A23V2002/00; A23V2250/5486; A23V2250/5488; A23V2250/546; A23V2250/1842; A23V2002/00; A23V2250/5486; A23V2250/54252; A23V2250/1842,US20020288854,20021106,US20020288854 20021106; US20010345186P 20011107,US4759934 (A); US5320859 (A); US5977312 (A),,,,,,,,,,,,,
Multi-tool kitchen utensil kit and container,US2003234188 (A1),25/12/2003,MCGUYER CARTER Wâ€‚[US],MCGUYER CARTER W,A47J43/28; B26B5/00; B26B25/00; B65D69/00,A47J43/288; B26B5/00; B26B5/007; B26B25/005; A47J2043/0738,US20020286691,20021101,US20020177699 20020620; US20020286691 20021101,,,,,,,,,,,,,,
Colored multi-layer food product and kit,US2004009266 (A1),15/01/2004,VIOLI LAUREEN Sâ€‚[US];  VIOLI ROCCO Jâ€‚[US],"VIOLI LAUREEN S, ; VIOLI ROCCO J",A21D13/00; A23G3/34; A23L1/00; A23L1/275; A23G3/00,A21D13/007; A23G3/0097; A23L1/0067; A23L1/275,US20020266390,20021008,US20020395391P 20020712; US20020266390 20021008,,,,,,,,,,,,,,
Even-slice pizza cutter,US6557260 (B1),06/05/2003,MORRIS KENNETH Aâ€‚[US],MORRIS KENNETH A,A21C15/04; A21C15/04,A21C15/04,US19990243882,19990203,US19990243882 19990203,US850022 (A); US1457233 (A); US1581310 (A); US1613223 (A); US2003253 (A); US2906020 (A); US2971549 (A); US3132423 (A); US4250618 (A); US5129159 (A); US5873294 (A); US5903981 (A),,,,,,,,US262332 (A); US471158 (A); US890390 (A); US4046067 (A); US4111112 (A); US4423551 (A); US4574479 (A); USD316656S (S); US5337480 (A); US5421249 (A); US5613431 (A),,,,,
Raw dough or baked product that can be prepared in an oven or microwave oven in the form of a pizza slice with an enclosed filling that is covered with a crust,US2003096039 (A1),22/05/2003,LAUEN STACEY Mâ€‚[US];  RETTEY DAVID Câ€‚[US],"LAUEN STACEY M, ; RETTEY DAVID C",A21D10/02; A21D13/00; A21D15/00; B65D5/02; B65D5/04; B65D81/34; A23G3/00,A21D13/0022; A21D10/025; A21D13/007; A21D15/00; B65D5/029; B65D5/04; B65D81/343; B65D81/3453; B65D2205/02; B65D2581/3406; B65D2581/3494,US20020241360,20020910,US20020241360 20020910; US20010952716 20010912,,,,,,,,,,,,,,
Scoopable dough and products resulting therefrom,US6919098 (B2); US2003118702 (A1),26/06/2003,RATKA KATHYâ€‚[US];  BRAGINSKY IRINAâ€‚[US];  HASSE RANDYâ€‚[US];  EL HMAMSI MOUNIRâ€‚[US];  HENRY LEOLAâ€‚[US];  FLOYD CHERIEâ€‚[US],PILLSBURY COMPANY INCâ€‚[US],A21D6/00; A21D10/04; A23B4/00,A21D10/045; A21D6/001,US20020224545,20020819,US20000523133 20000310; US20010898773 20010702; US20020224545 20020819,,,,,,,,,US3649304 (A); US3767421 (A); US3879563 (A); US4022917 (A); US4146652 (A); US4381315 (A); US4456625 (A); US4504510 (A); US4526801 (A); US4624856 (A); US4792456 (A); US4803084 (A); US4828853 (A); US4911939 (A); US4917914 (A); US4961937 (A); US5079012 (A); US5405636 (A); US5458903 (A); US5466476 (A); US5773068 (A); US5792499 (A); US5855945 (A); US5858440 (A); US6165524 (A); US6391366 (B1); US6579554 (B2); US6589583 (B1); EP0145550 (A2); EP0620974 (A2); GB2152796 (A); WO9904640 (A2); WO0219829 (A2),,,,,
Grooved freezer-to-oven pizza crust,US6783782 (B1),31/08/2004,LARSEN MICHELLE Mâ€‚[US];  LONERGAN DENNIS Aâ€‚[US],PILLSBURY COâ€‚[US],A21C11/12; A21D10/02; A21D13/00; A21D10/02,A21D13/007; A21C11/12; A21D10/025,US19980215583,19981217,US19980215583 19981217,US4464405 (A); US5171590 (A); US5447738 (A); US5720998 (A); US5830519 (A),,,,,,,,US707528 (A); US4563946 (A); US4659303 (A); US4698228 (A); US5076434 (A); US5351608 (A); US5416950 (A); US5438916 (A); US5503063 (A); US5503860 (A); US5520096 (A); USD371043S (S); US5526735 (A); USD374148S (S); CN301197 (A),,,,,
Food serving device with integral clamp,US2003034662 (A1),20/02/2003,WILSON WALTOR BRENTâ€‚[US],WILSON WALTOR BRENT,A47J43/28; A47J43/28,A47G21/045; A47J43/288,US20020209239,20020731,US20020209239 20020731; US20010310126P 20010803,,,,,,,,,,,,,,
Pizza wheel slicer,USD509710 (S1),20/09/2005,LEE SHEK TANGâ€‚[HK],BEST LUCK TECHNOLOGY DEV LTDâ€‚[HK],,,US20040209045F,20040709,HK20040010116F 20040114,,,,,,,,,,,,,,
Pizza box,USD510264 (S1),04/10/2005,TILLEY DANA Mâ€‚[US];  CARLSON ROBERT Câ€‚[US];  KNIERIM STANLEY Eâ€‚[US];  GLOCK OWENâ€‚[US];  BAILEY MELISSA Aâ€‚[US],PAPA JOHN S INTERNATIONAL INCâ€‚[US],,,US20040202005F,20040324,US20040202005F 20040324,,,,,,,,,,,,,,
Topping template for handmade pan pizzas,US2004011219 (A1); US6745674 (B2),22/01/2004,SIOUTIS NICHOLASâ€‚[US];  SIOUTIS ANASTASIâ€‚[US],"SIOUTIS NICHOLAS, ; SIOUTIS ANASTASI",A21B3/15; A21C9/04; A23P1/00,A21B3/15; A21C9/04; Y10S99/15,US20020200272,20020722,US20020200272 20020722,US3431836 (A); US4131080 (A); US4911634 (A); US5806411 (A),,,,,,,,US3166027 (A); US3322074 (A); US3864071 (A); US4417867 (A); US4511324 (A); US5109760 (A); US5117749 (A); US5243899 (A); US5256432 (A); US5508049 (A); US5789009 (A); US6026737 (A),,,,,
Pizza warmer,USD507453 (S1),19/07/2005,MILLS RANDALL Dâ€‚[US],PROGRESSIVE INT CORPâ€‚[US],,,US20040198476F,20040129,US20040198476F 20040129,,,,,,,,,,,,,,
Pizza cutter,USD501122 (S1),25/01/2005,LEE SHEK TANGâ€‚[HK],HUNG SANG METAL PLASTIC FACTORâ€‚[CN],,,US20040198229F,20040128,HK20030011576F 20030924,,,,,,,,,,,,,,
Pizza box,USD506671 (S1),28/06/2005,TILLEY DANA Mâ€‚[US];  CARLSON ROBERT Câ€‚[US];  KNIERIM STANLEY Eâ€‚[US];  GLOCK OWENâ€‚[US];  BAILEY MELISSA Mâ€‚[US],PAPA JOHN S INTERNATIONAL INCâ€‚[US],,,US20030195979F,20031218,US20030195979F 20031218,,,,,,,,,,,,,,
Pizza cutter with handle,USD509114 (S1),06/09/2005,MCGUYER CARTER Wâ€‚[US],ROBBINS IND INCâ€‚[US],,,US20030195827F,20031217,US20030195827F 20031217; US20020164208F 20020719,,,,,,,,,,,,,,
Container for pizza,USD511096 (S1),01/11/2005,DEMAGGIO GIOVANNIâ€‚[IT],TOP VENDING INTERNAT S R Lâ€‚[IT],,,US20030190418F,20030922,IT2003TO00074F 20030321,,,,,,,,,,,,,,
Pizza tray having integral detachable hold portions,USD512915 (S1),20/12/2005,DEMAGGIO GIOVANNIâ€‚[IT],TOP VENDING INTERNAT S R Lâ€‚[IT],,,US20030190417F,20030922,IT2003TO00073F 20030320,,,,,,,,,,,,,,
Single piece wedge lock pizza box,US6749106 (B2); US2003015578 (A1),23/01/2003,KEEFE WALTER Dâ€‚[US];  PHILIPS NICHOLAS Aâ€‚[US],"KEEFE WALTER D, ; PHILIPS NICHOLAS A, ; WEYERHAEUSER COMPANY",B65D5/20; B65D5/30; B65D5/66; B65D85/36; B65D5/20,B65D5/6652; B65D5/2033; B65D5/302; B65D2585/366; Y10S229/906,US20020183193,20020625,US20020183193 20020625; US20010301720P 20010628,US4765534 (A); US4984734 (A); US5000374 (A); US5368225 (A); US5381949 (A); US5402929 (A); US5452845 (A); US5553771 (A); US6092715 (A); US6206277 (B1); US6290122 (B1),,,,,,,,,,,,,
Pizza knife,USD488682 (S1),20/04/2004,BERTKE PATRICK Jâ€‚[US];  HAWKER CHRISTOPHER Lâ€‚[US],TRIDENT DESIGN LLCâ€‚[US],,,US20030182379F,20030522,US20030182379F 20030522,,,,,,,,,,,,,,
Method and system for routing food orders over a computer network,US2003065565 (A1),03/04/2003,WAGNER PETER Jâ€‚[US];  AZRAK GEORGE Zâ€‚[US];  MONTEITH TIMOTHY Jâ€‚[US];  VITEK JAMES Gâ€‚[US];  SCHEIBLE JOHN Râ€‚[US];  HAUBENSTRICKER DAVID Wâ€‚[US],"WAGNER PETER J, ; AZRAK GEORGE Z, ; MONTEITH TIMOTHY J, ; VITEK JAMES G, ; SCHEIBLE JOHN R, ; HAUBENSTRICKER DAVID W",G06Q10/00; G06Q30/00; G06F17/60,G06Q10/08; G06Q30/06; G06Q50/12,US20020182091,20020725,US20000491265 20000126; US20020182091 20020725,,,,,,,,,,,,,,
Tamper-resistant food container,US6685085 (B2); US2003150903 (A1),14/08/2003,HANNA DAVID Mâ€‚[US],"HANNA DAVID M, ; ARVCO CONTAINER CORPORATION",B65D5/20; B65D5/22; B65D85/36; B65D5/20,B65D5/2057; B65D5/22; B65D2101/00; B65D2585/366; Y10S229/906,US20020180376,20020626,US20020180376 20020626; US20020355654P 20020208,US2758774 (A); US3306520 (A); US4809908 (A); US4877178 (A); US4951865 (A); US5058803 (A); US5118032 (A); US5586716 (A); US5833130 (A),,,,,,,,US2923455 (A); US3637131 (A); US3756497 (A); US4535929 (A); US4573633 (A); US5263634 (A); US5351880 (A); US5402929 (A); US6092715 (A),,,,,
"Utensil, kit and method",US2003233734 (A1),25/12/2003,MCGUYER CARTER Wâ€‚[US];  HEBNER CHARLES Râ€‚[US];  ROBBINS RODNEY Wâ€‚[US],"MCGUYER CARTER W, ; HEBNER CHARLES R, ; ROBBINS RODNEY W",A47J43/28; B26B5/00; B26B25/00; A47J45/00,A47J43/288; B26B5/00; B26B5/007; B26B25/005; A47J2043/0738; Y10T16/476,US20020177699,20020620,US20020177699 20020620,,,,,,,,,,,,,,
Pizza cooking oven,USD483603 (S1),16/12/2003,MINIDIS JAMESâ€‚[US],MINIDIS JAMES,,,US20020173072F,20021219,US20020173072F 20021219,,,,,,,,,,,,,,
"Method and device for making a food product with open-cell internal texture, use for making gluten-free bread",US2003091715 (A1),15/05/2003,GIRARD JEAN-PHILIPPEâ€‚[FR];  FASQUEL JEAN-PHILIPPEâ€‚[FR];  CHALET THERESEâ€‚[FR],"GIRARD JEAN-PHILIPPE, ; FASQUEL JEAN-PHILIPPE, ; CHALET THERESE",A21D4/00; A21D8/02; A21D13/04; A23L1/00; A23L1/18; A23P1/16; A21D10/00,A21D8/025; A21D4/00; A21D8/02; A21D13/04; A23L1/0097; A23L1/1802; A23P1/16,US20020169189,20021023,FR19990016582 19991228,,,,,,,,,,,,,,
Bag for pizza slice,USD476883 (S1),08/07/2003,KROHNE ROBERT Câ€‚[US],KROHNE ROBERT C,,,US20020159763F,20020717,US20020159763F 20020717,,,,,,,,,,,,,,
Method of making pizza,US6753025 (B1),22/06/2004,TIPPMANN EUGENE Râ€‚[US],TIPPMANN EUGENE R,A21D13/00; A21D13/00,A21D13/007,US19980157388,19980921,US19980157388 19980921; US19970804956 19970224; US19950512338 19950808,,,,,,,,,US2547206 (A); US2668117 (A); US3395024 (A); US3879564 (A); US4271200 (A); US4283424 (A); US4303677 (A); US4416904 (A); US4649053 (A); US4661361 (A); US5202138 (A); US5256432 (A),,,,,
Pizza slicer,USD474081 (S1),06/05/2003,RATHER LARRY Dâ€‚[US];  DALEY RICHARD Jâ€‚[US];  SAKRIS CHARLES Fâ€‚[US];  STALEY LARRY Eâ€‚[US],"RATHER LARRY D, ; DALEY RICHARD J, ; SAKRIS CHARLES F, ; STALEY LARRY E",,,US20020155295F,20020207,US20020155295F 20020207,,,,,,,,,,,,,,
Sector-shaped enclosed pizza food,USD490586 (S1),01/06/2004,LAUEN STACEY Mâ€‚[US];  RETTEY DAVID Câ€‚[US],SCHWAN S FOOD MFG INCâ€‚[US],,,US20010148147F,20010912,US20010148147F 20010912,,,,,,,,,,,,,,
Method and system for managing pizza dough ball proofing,US2003211215 (A1),13/11/2003,CORRELL JOHN Dâ€‚[US];  BOUNAS ANDREWâ€‚[US],"CORRELL JOHN D, ; BOUNAS ANDREW",A21C13/00; A21D6/00; A21D10/02; A21D10/00,A21D6/00; A21C13/00; A21D10/02,US20020144482,20020513,US20020144482 20020513,,,,,,,,,,,,,,
Multi-featured blank for a food carton,US6533164 (B1),18/03/2003,CORRELL JOHN Dâ€‚[US],CORRELL JOHN D,B65D5/22; B65D5/66; B65D85/36; B65D5/00,B65D5/6655; B65D5/22; B65D2301/10; B65D2585/366; Y10S229/93; Y10S229/935,US20020119974,20020410,US20020119974 20020410,US1824927 (A); US1894873 (A); US3064877 (A); US3233818 (A); US3542569 (A); US4197980 (A); US4421267 (A); US4511079 (A); US4674676 (A); US4923113 (A); US5692672 (A); US5873517 (A),,,,,,,,,,,,,
Pizza separator,US2003024843 (A1),06/02/2003,DEPOORTERE THOMASâ€‚[US],DEPOORTERE THOMAS,B65D81/05; B65D81/32; B65D85/36; B65D85/00; B65D21/032; B65D25/04,B65D81/05; B65D81/3216; B65D85/36; B65D2585/366,US20020110621,20020415,US20020110621 20020415,,,,,,,,,,,,,,
PIZZA-TOPPING APPARATUS,US6672246 (B2); US2003183164 (A1),02/10/2003,PIERRE JEAN Eâ€‚[US],PIERRE JEAN E,A21C9/04; B05C19/00,A21C9/04,US20020107342,20020328,US20020107342 20020328,US3717752 (A); US3719504 (A); US4190410 (A); US4554852 (A); US5121677 (A); US6032610 (A); US6390662 (B1),,,,,,,,,,,,,
Infrared oven,US2003121904 (A1); US6670586 (B2),03/07/2003,INGEMANSON MATS Oâ€‚[US];  LAPRAD ROBERT Hâ€‚[US];  LAPRAD PHILLP Tâ€‚[US],"INGEMANSON MATS O, ; LAPRAD ROBERT H, ; LAPRAD PHILLP T, ; REDI-KWIK CORP",H05B1/02; H05B3/00; H05B1/02; F27D11/00,H05B1/0263; H05B3/0076,US20020099147,20020315,US20020099147 20020315; US20010276556P 20010316,US4238995 (A); US4960977 (A); US5378872 (A),,,,,,,,US4421015 (A); US5036179 (A); US5382441 (A); US5472720 (A); US5484618 (A); US5517005 (A); US5695669 (A); US5712464 (A); US5726423 (A); US5954980 (A); US6013900 (A); US6069345 (A); US6139885 (A),,,,,
Support accessory for making pizza,US2003160040 (A1),28/08/2003,SANTORA OSVALDOâ€‚[US],SANTORA OSVALDO,A21B3/13; A21C11/00; A21B1/00,A21B3/135; A21C11/004,US20020083262,20020227,US20020083262 20020227,,,,,,,,,,,,,,
Pizza cutting and eating tool,US6591503 (B1),15/07/2003,VOVES MARK Aâ€‚[US],MARWAY IND LLCâ€‚[US],A47G21/02; B26B25/00; B25F1/00; B25F3/00,A47G21/02; B26B25/005,US20020072371,20020207,US20020072371 20020207,US3711945 (A); US4423551 (A); USD286608S (S); US5428898 (A); US5469622 (A); US5555625 (A); USD393987S (S); USD425376S (S); US6484407 (B2),,,,,,,,,,,,,
Pizza insert for barbeque grill,US2003145740 (A1); US6640695 (B2),07/08/2003,STARK STEVENâ€‚[US],STARK STEVEN,A47J37/07; A47J9/00,A47J37/0786,US20020071810,20020207,US20020071810 20020207,US1685829 (A); US2099788 (A); US3786741 (A); US4384513 (A); US4640265 (A); US5678531 (A),,,,,,,,US3035568 (A); US3987719 (A); US4210072 (A); US4498376 (A); US5365833 (A); US5413033 (A); US5605092 (A); US5682873 (A); US5735260 (A); US5873300 (A); US6041769 (A); US6187359 (B1),,,,,
Food preparation system,US7478749 (B2); US2005256774 (A1),17/11/2005,CLOTHIER BRIAN Lâ€‚[US];  ABLAH AMIL Jâ€‚[US];  CABAK RICHARDâ€‚[US],"THERMAL SOLUTIONS, INC",B65G54/02; G06Q10/00; G06F17/60,B65G54/02; G06Q10/06; G06Q10/087; G06Q50/12; B65G2201/0202; B65G2203/0283,US20050061345,20050218,US20050061345 20050218; US20040613199P 20040927; US20040571885P 20040517,US4919950 (A); US6303165 (B1); US6564999 (B1); US2003052166 (A1); US2005061195 (A1),,,,,,,,US6051070 (A); US6232585 (B1); US6237750 (B1); US6320169 (B1); US6561022 (B1); US6838873 (B2),,,,,
Method to expedite home delivery service,US2003141984 (A1),31/07/2003,SAREK JOHNâ€‚[US];  CORNELLA STEVEN Mâ€‚[US];  CORNELLA JOE Eâ€‚[US],"SAREK JOHN, ; CORNELLA STEVEN M, ; CORNELLA JOE E",G08B7/06; G08B5/36; G08B5/00,G08B7/068,US20020059660,20020128,US20020059660 20020128,,,,,,,,,,,,,,
Method for quickly producing made-to-order pizza,US2003138539 (A1),24/07/2003,SWANSON JOHN Wâ€‚[US],SWANSON JOHN W,A21D15/00; A21D10/00,A21D15/00,US20020054565,20020122,US20020054565 20020122,,,,,,,,,,,,,,
Method and apparatus for cutting a circile in the center of a pizza,US2005181098 (A1),18/08/2005,MONTAGUE ROLAND Wâ€‚[CA],MONTAGUE ROLAND W,A21C15/04; A21D13/00; A23G3/00; B26F1/46; A23G3/00,A21C14/00; A21C15/04; A21D13/007; B26F1/46; B26D3/245,US20050052316,20050208,US20050052316 20050208; US20040544073P 20040213,,,,,,,,,,,,,,
Dough product and method for making same,US2003082274 (A1); US7172776 (B2),01/05/2003,BAUER JAY Eâ€‚[US];  ALAGNA MICHAEL Aâ€‚[US];  ZAVALA HUGOâ€‚[US];  SELVAGGIO SALVATORE Aâ€‚[US],"BAUER JAY E, ; ALAGNA MICHAEL A, ; ZAVALA HUGO, ; SELVAGGIO SALVATORE A, ; KRAFT FOODS HOLDINGS, INC",A21D10/02; A21D13/00; A21D2/00,A21D13/007; A21D10/025,US20010046457,20011025,US20010046457 20011025,US3630755 (A); US3767421 (A); US4405648 (A); US5624697 (A),,,,,,,,US4308286 (A); US4847104 (A); US5149566 (A); US5171590 (A); US5207151 (A); US5354566 (A); US5447738 (A); US6010325 (A); US6156364 (A),,,,,
