applicants_orgs_all,publication_number,applicants_orgs_all_1
Artis:Kk,JP2002315680,Artis:Kk
"K & G Enterprises, Llc",MXMXa2009009078,"K & G Enterprises, Llc"
Keumsankun,KR1020000017796,Keumsankun
"K & G Enterprises, Llc",KR1020090126267,"K & G Enterprises, Llc"
"K & G Enterprises, Llc",EP2134183,"K & G Enterprises, Llc"
"K & G Enterprises, Llc",PT2134183,"K & G Enterprises, Llc"
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,US6672203,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Matsutani Chem Ind Ltd,JP2000004851,Matsutani Chem Ind Ltd
Fujimura Seisakusho:Kk,JP11253091,Fujimura Seisakusho:Kk
Ereed:Kk,JP2010194038,Ereed:Kk
Nisshin Flour Milling Inc,JP2006304736,Nisshin Flour Milling Inc
Nisshin Flour Milling Inc,JP2004008171,Nisshin Flour Milling Inc
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,WO2001087073,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Itoham Foods Inc,JP2006121951,Itoham Foods Inc
Kentucky Fried Chicken Japan Ltd,JP2004267146,Kentucky Fried Chicken Japan Ltd
Oetker Nahrungsmittel,DE000004416223,Oetker Nahrungsmittel
Nisshin Flour Milling Inc,JP2003274844,Nisshin Flour Milling Inc
Ipdev Co,US20040133475,Ipdev Co
Daewoo Electronics Corporation,KR1020050063946,Daewoo Electronics Corporation
Charmzone-Box,KR1020140039901,Charmzone-Box
"Pizza Hut, Inc",EP0366738,"Pizza Hut, Inc"
Songtan Regional Agriculture Cooperative,KR100236403,Songtan Regional Agriculture Cooperative
Snow Brand Milk Prod Co Ltd,JP2001008612,Snow Brand Milk Prod Co Ltd
"Nuvo Grand, Llc",US20140099418,"Nuvo Grand, Llc"
"Eanskorea Co., Ltd",KR1020090025730,"Eanskorea Co., Ltd"
"Teagasc, The Agriculture And Food Development Authority",US6139889,"Teagasc, The Agriculture And Food Development Authority"
Nisshin Flour Milling Inc,JP11243847,Nisshin Flour Milling Inc
Ya Vi Ch,WO2011020965,Ya Vi Ch
Fuji Oil Co Ltd,WO2014087737,Fuji Oil Co Ltd
Fujimura Seisakusho:Kk,JP2002247946,Fujimura Seisakusho:Kk
"Suzhou Weiruida Machinery Technology Co., Ltd",CN103505066,"Suzhou Weiruida Machinery Technology Co., Ltd"
"Mister Pizza Korea. Co., Ltd",KR1020060013144,"Mister Pizza Korea. Co., Ltd"
Daewoo Electronics Corporation,KR1020050121978,Daewoo Electronics Corporation
Daewoo Electronics Corporation,KR1020050063945,Daewoo Electronics Corporation
Fujimura Seisakusho:Kk,JP2000253801,Fujimura Seisakusho:Kk
Kaneka Corp,JP2004357704,Kaneka Corp
Mccain Foods (Gb) Limited,WO2001081200,Mccain Foods (Gb) Limited
"Mister Pizza Korea. Co., Ltd",KR1020020080082,"Mister Pizza Korea. Co., Ltd"
"Lotte Ham & Milk Co., Ltd",KR1019970003294,"Lotte Ham & Milk Co., Ltd"
Im-Silgun,KR1020120086991,Im-Silgun
"Silverback Environments, Inc",EP0683634,"Silverback Environments, Inc"
Jc Foods Co Ltd,JP2004033021,Jc Foods Co Ltd
Daewoo Electronics Corporation,EP1544546,Daewoo Electronics Corporation
Mitsuwa Foods Kk,JP2002253110,Mitsuwa Foods Kk
Billcrest Products Limited,EP1094714,Billcrest Products Limited
"Pitstsa Khat, Ink. (Us",RU02095984,"Pitstsa Khat, Ink. (Us"
Ipdev Co,US20070106568,Ipdev Co
Elwha Llc,US20150056336,Elwha Llc
"Schwan Food Manufacturing, Inc",MXPAa2005008192,"Schwan Food Manufacturing, Inc"
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,MXPAa2001007421,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Ya Vi Ch,EP2467025,Ya Vi Ch
Shichiyo Seisakusho:Kk,JP2006296237,Shichiyo Seisakusho:Kk
Fujimura Seisakusho:Kk,JP2003235436,Fujimura Seisakusho:Kk
Snow Brand Milk Prod Co Ltd,JP11243837,Snow Brand Milk Prod Co Ltd
"Kraft Foods Holdings, Inc",CA2456274,"Kraft Foods Holdings, Inc"
Rengo Co Ltd,JP2008155960,Rengo Co Ltd
Daily Harashima:Kk,JP2001031164,Daily Harashima:Kk
Soc Prod Nestle Sa,JP2002142732,Soc Prod Nestle Sa
Jc Foods Co Ltd,JP2004154068,Jc Foods Co Ltd
Daewoo Electronics Corporation,KR100156071,Daewoo Electronics Corporation
"Mister Pizza Korea. Co., Ltd",KR1020020087255,"Mister Pizza Korea. Co., Ltd"
Mccain Foods (Gb) Limited,US20020179697,Mccain Foods (Gb) Limited
Daewoo Electronics Corporation,KR1020050063970,Daewoo Electronics Corporation
"2001 Food Holdings Co., Ltd",KR1020110108158,"2001 Food Holdings Co., Ltd"
"Pizza Hut, Inc",CA2488319,"Pizza Hut, Inc"
Snow Brand Milk Prod Co Ltd,JP2000139428,Snow Brand Milk Prod Co Ltd
Top Vending Srl,JP2001188959,Top Vending Srl
Fuji Oil Co Ltd,JP2007259760,Fuji Oil Co Ltd
Shaoxing University,CN102814823,Shaoxing University
"Lotte Shopping Co., Ltd",KR1019960010971,"Lotte Shopping Co., Ltd"
Hitachi Home Tec Ltd,JP10052372,Hitachi Home Tec Ltd
"Suzhou Haodelai Food Co.,Ltd",CN102715206,"Suzhou Haodelai Food Co.,Ltd"
Snow Brand Milk Prod Co Ltd,JP2000041568,Snow Brand Milk Prod Co Ltd
Snow Brand Milk Prod Co Ltd,WO2000005967,Snow Brand Milk Prod Co Ltd
Suzumo Machinery Co Ltd,JP2000168759,Suzumo Machinery Co Ltd
"Remco Technologies, Inc",WO1999056602,"Remco Technologies, Inc"
Daewoo Electronics Corporation,KR1020070053567,Daewoo Electronics Corporation
"Dongwon Industries Co., Ltd",KR100140152,"Dongwon Industries Co., Ltd"
"Dongwon Industries Co., Ltd",KR100172101,"Dongwon Industries Co., Ltd"
Daewoo Electronics Corporation,KR1020070053566,Daewoo Electronics Corporation
Breviglieri Imballaggi,EP0319493,Breviglieri Imballaggi
Daewoo Electronics Corporation,KR1020060062226,Daewoo Electronics Corporation
Snow Brand Milk Prod Co Ltd,JP2000210061,Snow Brand Milk Prod Co Ltd
"Remco Technologies, Inc",CA2330287,"Remco Technologies, Inc"
"Wonderpizza Korea Co., Ltd",KR1020090100712,"Wonderpizza Korea Co., Ltd"
Mccain Foods (Gb) Limited,WO2003035507,Mccain Foods (Gb) Limited
"Remco Technologies, Inc",EP1075202,"Remco Technologies, Inc"
Suzumo Machinery Co Ltd,JP11239456,Suzumo Machinery Co Ltd
Pizzeria Pinocchio,JP2000253802,Pizzeria Pinocchio
Fuji Oil Co Ltd,JP2008113558,Fuji Oil Co Ltd
James River Corporation,US5128522,James River Corporation
"Graphic Packaging International, Inc",WO2007100869,"Graphic Packaging International, Inc"
"Teagasc, The Agriculture And Food Development Authority",WO1998009149,"Teagasc, The Agriculture And Food Development Authority"
Nisshin Foods Inc,JP2008043247,Nisshin Foods Inc
Nippon Ham Kk,JP11032660,Nippon Ham Kk
Vetro Pizza Ricky,EP1486138,Vetro Pizza Ricky
"Gv Foodsystem Co., Ltd",KR1020140018688,"Gv Foodsystem Co., Ltd"
Etang Inc,KR1020070043498,Etang Inc
Westvaco Corporation,US4995557,Westvaco Corporation
"Pizza Hut, Inc",EP1168927,"Pizza Hut, Inc"
Itoham Foods Inc,JP2003180234,Itoham Foods Inc
"Graphic Packaging International, Inc",US20070199980,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",US20100237137,"Graphic Packaging International, Inc"
"Goldenpaper Co., Ltd",KR1020050095080,"Goldenpaper Co., Ltd"
Cierreci S R L,WO2011045662,Cierreci S R L
Daewoo Electronics Corporation,KR1020050062794,Daewoo Electronics Corporation
Suzumo Machinery Co Ltd,JP11332489,Suzumo Machinery Co Ltd
Daewoo Electronics Corporation,KR1020050063969,Daewoo Electronics Corporation
Gyeonggi College Of Science And Technology Industy-Academic Cooperation Foundation,KR1020130089498,Gyeonggi College Of Science And Technology Industy-Academic Cooperation Foundation
Hikari Kikai Seisakusho:Kk,JP2003102447,Hikari Kikai Seisakusho:Kk
Tianjin University Of Science & Technology,CN103907693,Tianjin University Of Science & Technology
Maydon Investments Limited,WO1999008537,Maydon Investments Limited
"Good Food Co., Ltd",KR1020030003836,"Good Food Co., Ltd"
Frisco Findus Ag,EP0563413,Frisco Findus Ag
Keller Robert Ag Metall,EP0555176,Keller Robert Ag Metall
Fiera Foods Inc,CA2241577,Fiera Foods Inc
Rheon Autom Mach Co Ltd,JP2002142661,Rheon Autom Mach Co Ltd
"Suzhou Haodelai Food Co.,Ltd",CN102232402,"Suzhou Haodelai Food Co.,Ltd"
Cmt Costr Mecc & Tec,CN101720800,Cmt Costr Mecc & Tec
Rinaldi & Co. S.R.L,EP0338995,Rinaldi & Co. S.R.L
Nippon Flour Mills Co Ltd,JP2006141318,Nippon Flour Mills Co Ltd
"Gmt Building Machinery And Technology Co., Ltd",CN1337852,"Gmt Building Machinery And Technology Co., Ltd"
Republic Of Korea(Management : Rural Development Administration,KR100261046,Republic Of Korea(Management : Rural Development Administration
Nisshin Flour Milling Inc,JP10257847,Nisshin Flour Milling Inc
Dkb Household Usa Corp,EP2098340,Dkb Household Usa Corp
Daewoo Electronics Corporation,KR1020050063843,Daewoo Electronics Corporation
"Delkor Systems, Inc",US20110319241,"Delkor Systems, Inc"
Kentucky Fried Chicken Japan Ltd,JP2004267145,Kentucky Fried Chicken Japan Ltd
"Neowiz Co., Ltd",KR1020060120920,"Neowiz Co., Ltd"
Snow Brand Milk Prod Co Ltd,JP10276666,Snow Brand Milk Prod Co Ltd
Tolona Japan:Kk,JP2004141023,Tolona Japan:Kk
Nippon Flour Mills Co Ltd,JP2001045963,Nippon Flour Mills Co Ltd
Artos S.A,EP0938263,Artos S.A
Artos S.A,MXPAa1999003644,Artos S.A
Nestec,CA2857402,Nestec
Nestec,EP2793591,Nestec
Panaderia Rial S L,WO2012156560,Panaderia Rial S L
"Engreen Co., Ltd",KR1020120020926,"Engreen Co., Ltd"
Societe Civile B.A.R.H,US5962052,Societe Civile B.A.R.H
"Kraft Jacobs Suchard R & D, Inc",EP1116668,"Kraft Jacobs Suchard R & D, Inc"
Snow Brand Milk Prod Co Ltd,JP2002119259,Snow Brand Milk Prod Co Ltd
"Anhui Huizhi Electric Technology Co., Ltd",CN103659846,"Anhui Huizhi Electric Technology Co., Ltd"
"Automatic Bar Controls, Inc",US20100095887,"Automatic Bar Controls, Inc"
"J. E. Grote Company, Inc",US3760715,"J. E. Grote Company, Inc"
Green Force Ltd,KR1020090073320,Green Force Ltd
Satako:Kk,JP2000355372,Satako:Kk
Artos S.A,KR1020000068789,Artos S.A
United Biscuits (Uk) Limited,EP0584113,United Biscuits (Uk) Limited
Angelyeast Co Ltd,WO2010003334,Angelyeast Co Ltd
Agapi Trade Ag,MXPAa2000006942,Agapi Trade Ag
Cibotec S R L,EP1490847,Cibotec S R L
Billcrest Products Limited,EP1094713,Billcrest Products Limited
"Jungdam Food Service Co., Ltd",KR100556269,"Jungdam Food Service Co., Ltd"
Hyunsung P&L,KR1020070109616,Hyunsung P&L
Snow Brand Milk Prod Co Ltd,JP2001245583,Snow Brand Milk Prod Co Ltd
Uic Kk,JP2009022233,Uic Kk
Shin Seong Village,KR1020130106041,Shin Seong Village
Daewoo Electronics Corporation,KR1020050121979,Daewoo Electronics Corporation
Weyerhaeuser Company,US20030015578,Weyerhaeuser Company
"Abudanza, Inc",US20060196883,"Abudanza, Inc"
"Hai Tai Dairy Co., Ltd",KR100198253,"Hai Tai Dairy Co., Ltd"
Pizza World Sas,EP0379144,Pizza World Sas
Societe Des Produits Nestle S.A,EP0399269,Societe Des Produits Nestle S.A
"Hamil F&C Co., Ltd",KR1020090022796,"Hamil F&C Co., Ltd"
Dobra Ges Fuer Tiefkuehlkostve,DE000004036243,Dobra Ges Fuer Tiefkuehlkostve
Samsung Everland Inc,KR1020010055381,Samsung Everland Inc
James River Corporation,US4567341,James River Corporation
"Haemil Food Co., Ltd",KR100793742,"Haemil Food Co., Ltd"
Cmt Costr Mecc & Tec,EP2181600,Cmt Costr Mecc & Tec
Evolution One,WO1998057547,Evolution One
Nippon Flour Mills Co Ltd,JP2006340634,Nippon Flour Mills Co Ltd
Jc Comsa Corp,JP2008118874,Jc Comsa Corp
Satako:Kk,JP11313769,Satako:Kk
Suzumo Machinery Co Ltd,JP11169139,Suzumo Machinery Co Ltd
Fairmont Foods Company,US4079666,Fairmont Foods Company
Sigma S R L,EP2701519,Sigma S R L
Beckett Industries Inc,WO1992019515,Beckett Industries Inc
"Tianjin Taiheng Gases Co., Ltd",CN103891856,"Tianjin Taiheng Gases Co., Ltd"
"Daehan Flour Mill Company Co., Ltd",KR1020100000694,"Daehan Flour Mill Company Co., Ltd"
Daewoo Electronics Corporation,KR100142445,Daewoo Electronics Corporation
Meggle Ag,DE000010000773,Meggle Ag
Evolution One,WO1999037157,Evolution One
"Kraft Jacobs Suchard R & D, Inc",WO2001050868,"Kraft Jacobs Suchard R & D, Inc"
Blenk Man Ag Balzers,DE000020118453,Blenk Man Ag Balzers
Waltzing Limited Liability Company,CN1243418,Waltzing Limited Liability Company
"Pizza Hut, Inc",US20060208046,"Pizza Hut, Inc"
United Biscuits (Uk) Limited,WO1992020234,United Biscuits (Uk) Limited
Miro Pepio Rosa Maria,WO2004023408,Miro Pepio Rosa Maria
"Suzhou Weiruida Machinery Technology Co., Ltd",CN103505065,"Suzhou Weiruida Machinery Technology Co., Ltd"
Daewoo Electronics Corporation,KR1020060062216,Daewoo Electronics Corporation
Evolution One,EP1049379,Evolution One
"Stockley Enterprises, Llc",WO2006065265,"Stockley Enterprises, Llc"
"Schwan Food Manufacturing, Inc",EP1429616,"Schwan Food Manufacturing, Inc"
"Delrich Food Co., Ltd",KR1020120027064,"Delrich Food Co., Ltd"
Vsm Gmbh,DE000019918602,Vsm Gmbh
"Kaneshiro Co., Ltd",KR1020130087744,"Kaneshiro Co., Ltd"
Daewoo Electronics Corporation,KR1020050121980,Daewoo Electronics Corporation
"General Mills, Inc",WO2014193417,"General Mills, Inc"
"Haemil Food Co., Ltd",KR100793731,"Haemil Food Co., Ltd"
Convotherm Elektrogeraete,DE102005025158,Convotherm Elektrogeraete
Gerard Schlienger Investisseme,EP1289396,Gerard Schlienger Investisseme
Charmzone-Box,KR1020140049235,Charmzone-Box
Agapi Trade Ag,KR1020010015351,Agapi Trade Ag
"Tong Il Sang Sa. Co., Ltd",KR1020060037544,"Tong Il Sang Sa. Co., Ltd"
"Dominos Pizza Pmc, Inc",US4816646,"Dominos Pizza Pmc, Inc"
Daewoo Electronics Corporation,KR1020050063944,Daewoo Electronics Corporation
Freiberger Lebensmittel Gmbh,DE000010226126,Freiberger Lebensmittel Gmbh
La Spuntinoteca Breakfast S.R.L,WO2007138620,La Spuntinoteca Breakfast S.R.L
Agapi Trade Ag,CN1280946,Agapi Trade Ag
Okumura Shokken:Kk,JP2002010731,Okumura Shokken:Kk
Keller Robert Ag Metall,US5315922,Keller Robert Ag Metall
Trykko Pack A/S,CA2352815,Trykko Pack A/S
Jefferson Smurfit Corporation,US6109512,Jefferson Smurfit Corporation
Tecnoforni S.R.L,KR1020080011297,Tecnoforni S.R.L
Daewoo Electronics Corporation,KR100142446,Daewoo Electronics Corporation
"Kraft Foods Holdings, Inc",EP1188380,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",CA2318016,"Kraft Foods Holdings, Inc"
"Chamsal Co., Ltd",KR1020120018514,"Chamsal Co., Ltd"
"Tong Il Sang Sa. Co., Ltd",KR1020060037546,"Tong Il Sang Sa. Co., Ltd"
Macmillan Bloedel Containers,US4960238,Macmillan Bloedel Containers
Trykko Pack A/S,EP1165399,Trykko Pack A/S
Leprino Foods Company,US5380543,Leprino Foods Company
"Kraft Foods Holdings, Inc",ZA200407032,"Kraft Foods Holdings, Inc"
Gerard Schlienger Investisseme,EP0761098,Gerard Schlienger Investisseme
"Kraft Foods Holdings, Inc",US20040151811,"Kraft Foods Holdings, Inc"
Trykko Pack A/S,ZA200104500,Trykko Pack A/S
Leprino Fudz Kompani,RU02082297,Leprino Fudz Kompani
Befa Gmbh Handelsgesellschaft,EP1623929,Befa Gmbh Handelsgesellschaft
Kyodo Shokuhin Kogyo Kk,JP11032662,Kyodo Shokuhin Kogyo Kk
Suzumo Machinery Co Ltd,JP2002354995,Suzumo Machinery Co Ltd
Mm Packaging Europ Gmbh Wien,DE000020114007,Mm Packaging Europ Gmbh Wien
Ceprodi - Compagnie Europeenne De Produits Dietetiques,WO2003000059,Ceprodi - Compagnie Europeenne De Produits Dietetiques
Ishida Seisakusho,EP0787431,Ishida Seisakusho
"NunzioS Pizza, Inc",WO1990014991,"NunzioS Pizza, Inc"
"Dadco, Inc",US5503860,"Dadco, Inc"
Freiberger Lebensmittel Gmbh,DE000020220033,Freiberger Lebensmittel Gmbh
Daewoo Electronics Corporation,KR100153700,Daewoo Electronics Corporation
"Kraft General Foods, Inc",KR1020130075110,"Kraft General Foods, Inc"
Katayama Chem Works Co Ltd,JP2005124435,Katayama Chem Works Co Ltd
"Kraft Foods Holdings, Inc",US20040161512,"Kraft Foods Holdings, Inc"
"Marshall Air Systems, Inc",US5206045,"Marshall Air Systems, Inc"
Matsushita Electric Ind Co Ltd,JP2006023066,Matsushita Electric Ind Co Ltd
Gerard Schlienger Investisseme,WO2000057710,Gerard Schlienger Investisseme
"Kraft Foods Holdings, Inc",US6479087,"Kraft Foods Holdings, Inc"
Ceprodi - Compagnie Europeenne De Produits Dietetiques,EP1397046,Ceprodi - Compagnie Europeenne De Produits Dietetiques
"Kraft Foods Holdings, Inc",US20060127556,"Kraft Foods Holdings, Inc"
Kaz Heating Products Inc,US3398264,Kaz Heating Products Inc
Emc Corporation,US7178146,Emc Corporation
"Tong Il Sang Sa. Co., Ltd",KR1020060037543,"Tong Il Sang Sa. Co., Ltd"
"Schwan Food Manufacturing, Inc",US20070125772,"Schwan Food Manufacturing, Inc"
Union Joints,US20140091096,Union Joints
Yamasa Shoyu Co Ltd,JP11192062,Yamasa Shoyu Co Ltd
Torigoe Seifun Kk,JP10117673,Torigoe Seifun Kk
Agapi Trade Ag,JP2001063761,Agapi Trade Ag
Unilever Plc,EP0319221,Unilever Plc
Gerard Schlienger Investisseme,EP1164854,Gerard Schlienger Investisseme
"Wisco Industries, Inc",US4528802,"Wisco Industries, Inc"
"Graphic Packaging International, Inc",EP1984263,"Graphic Packaging International, Inc"
Nestec,IL219036,Nestec
Daewoo Electronics Corporation,KR1020050061702,Daewoo Electronics Corporation
Daewoo Electronics Corporation,KR1020070025775,Daewoo Electronics Corporation
"Pratt Industries, Inc",US20100108750,"Pratt Industries, Inc"
Rational Ag,DE102006007379,Rational Ag
Sbjr Restaurants Inc,US6004602,Sbjr Restaurants Inc
Unilever Plc,CA1323525,Unilever Plc
Italpizza S. P. A,CN101179940,Italpizza S. P. A
Cryovac Inc,ZA199400691,Cryovac Inc
"Kraft Foods Holdings, Inc",EP1512327,"Kraft Foods Holdings, Inc"
"Edgewater International, Limited",WO1992006895,"Edgewater International, Limited"
Teito Sangyo Kk,JP2001072144,Teito Sangyo Kk
"Self Serve Foods, Inc",WO2003032688,"Self Serve Foods, Inc"
Trykko Pack A/S,WO2000035770,Trykko Pack A/S
"Daubert Industries, Inc",US4418119,"Daubert Industries, Inc"
Videcart Sa,EP1646567,Videcart Sa
Covertex Corporation,US6512211,Covertex Corporation
"NunzioS Pizza, Inc",US5279392,"NunzioS Pizza, Inc"
La Pizza +1 S.R.L,WO2014080369,La Pizza +1 S.R.L
"J. E. Grote Company, Inc",US20020020348,"J. E. Grote Company, Inc"
"Wolfe Electric, Inc",US6833533,"Wolfe Electric, Inc"
Wolverine Corporation,US4471000,Wolverine Corporation
"Schwan Food Manufacturing, Inc",WO2006130789,"Schwan Food Manufacturing, Inc"
"Dae Doo FoodS Co., Ltd",KR100663986,"Dae Doo FoodS Co., Ltd"
Kentucky Fried Chicken Japan Ltd,JP2001025355,Kentucky Fried Chicken Japan Ltd
Niigata Prefecture,JP2000279136,Niigata Prefecture
Osaka Jidoki Kk,JP2008289378,Osaka Jidoki Kk
Osaka Jidoki Kk,JP2008289377,Osaka Jidoki Kk
Champion International Corporation,US4355757,Champion International Corporation
"Schwan Food Manufacturing, Inc",US20060289516,"Schwan Food Manufacturing, Inc"
"J. E. Grote Company, Inc",WO2002011542,"J. E. Grote Company, Inc"
Unilever Patent Holdings B.V,US5348751,Unilever Patent Holdings B.V
Middleby Marshall Inc,US4964392,Middleby Marshall Inc
Genencor Int,EP1476030,Genencor Int
Osaka Jidoki Kk,JP11318317,Osaka Jidoki Kk
Philippine Tech Kunststoff,DE102004047570,Philippine Tech Kunststoff
Dobra Ges Fuer Tiefkuehlkostve,DE000004016944,Dobra Ges Fuer Tiefkuehlkostve
"Kraft Foods Holdings, Inc",CA2338087,"Kraft Foods Holdings, Inc"
Sigma S R L,EP1661461,Sigma S R L
The Procter & Gamble Company,WO2008035314,The Procter & Gamble Company
"Innophos, Inc",CA2605920,"Innophos, Inc"
Vesture Corporation,US6121578,Vesture Corporation
Sbjr Restaurants Inc,WO2001045540,Sbjr Restaurants Inc
Daewoo Electronics Corporation,KR1020050062803,Daewoo Electronics Corporation
Benson Box Company Ltd,EP2116483,Benson Box Company Ltd
Societe Civile B.A.R.H,WO1996032018,Societe Civile B.A.R.H
"Genencor International, Inc",WO2003071879,"Genencor International, Inc"
"Fries & Fries, Inc",US5043173,"Fries & Fries, Inc"
Osaka Jidoki Kk,JP11243834,Osaka Jidoki Kk
Osaka Jidoki Kk,JP2000201614,Osaka Jidoki Kk
Osaka Jidoki Kk,JP2005237312,Osaka Jidoki Kk
Osaka Jidoki Kk,JP2005237311,Osaka Jidoki Kk
"Kraft Foods Holdings, Inc",EP1134166,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",CA2546878,"Kraft Foods Holdings, Inc"
Multivac Sepp Haggenmuller Gmbh & Co. Kg,US20110271643,Multivac Sepp Haggenmuller Gmbh & Co. Kg
"Graphic Packaging International, Inc",EP1762505,"Graphic Packaging International, Inc"
The Pillsbury Company,US4208441,The Pillsbury Company
Metallwarenfabrik Marktoberdorf Gmbh & Co Kg,EP2316621,Metallwarenfabrik Marktoberdorf Gmbh & Co Kg
The Green Partnership Inc,WO1995029619,The Green Partnership Inc
Bioenvelop Agro Inc,CA2340825,Bioenvelop Agro Inc
The Pillsbury Company,US4170659,The Pillsbury Company
Hp Intellectual Corp,CA2502005,Hp Intellectual Corp
B A R H Soc Civ,EP0820234,B A R H Soc Civ
Meadwestvaco Packaging Systems,EP1493674,Meadwestvaco Packaging Systems
"Eunseongpaper Co., Ltd",KR1020070022377,"Eunseongpaper Co., Ltd"
"PopS Pak, Ltd",WO1999039993,"PopS Pak, Ltd"
Pwp Industries,US6595366,Pwp Industries
American Home Prod,US3392687,American Home Prod
Buitoni Foods Corporation,US3615679,Buitoni Foods Corporation
"Ishida Co., Ltd",US6051070,"Ishida Co., Ltd"
Rich Products Corporation,WO2003022060,Rich Products Corporation
Vesture Corporation,US6300599,Vesture Corporation
La Pizza +1 S.R.L,EP2363026,La Pizza +1 S.R.L
